#      x          Cp  
     1.00000    0.44182
     0.99332    0.11614
     0.98581   -0.23132
     0.97815   -0.50692
     0.96990   -0.64271
     0.96082   -0.68799
     0.95074   -0.70696
     0.93956   -0.71947
     0.92724   -0.73602
     0.91379   -0.75276
     0.89928   -0.76981
     0.88382   -0.78852
     0.86754   -0.80961
     0.85060   -0.83341
     0.83317   -0.86082
     0.81538   -0.89122
     0.79734   -0.92457
     0.77914   -0.96085
     0.76086   -0.99912
     0.74255   -1.03863
     0.72423   -1.07841
     0.70592   -1.11758
     0.68760   -1.15492
     0.66925   -1.19010
     0.65087   -1.22275
     0.63241   -1.25210
     0.61384   -1.27844
     0.59512   -1.30218
     0.57623   -1.32375
     0.55712   -1.34387
     0.53778   -1.36455
     0.51820   -1.38749
     0.49839   -1.41467
     0.47837   -1.44852
     0.45819   -1.49113
     0.43794   -1.54466
     0.41769   -1.61101
     0.39755   -1.69273
     0.37763   -1.79031
     0.35803   -1.90520
     0.33887   -2.03963
     0.32028   -2.19574
     0.30237   -2.37563
     0.28525   -2.57705
     0.26895   -2.79227
     0.25343   -3.00979
     0.23859   -3.22039
     0.22434   -3.41754
     0.21060   -3.59979
     0.19732   -3.76457
     0.18445   -3.90823
     0.17196   -4.02921
     0.15981   -4.12624
     0.14800   -4.19831
     0.13651   -4.24723
     0.12535   -4.27528
     0.11453   -4.27858
     0.10408   -4.25932
     0.09401   -4.22074
     0.08438   -4.16732
     0.07522   -4.10318
     0.06661   -4.03921
     0.05859   -3.97984
     0.05123   -3.92954
     0.04453   -3.89737
     0.03852   -3.88417
     0.03315   -3.88533
     0.02841   -3.89151
     0.02422   -3.89737
     0.02054   -3.89253
     0.01731   -3.87634
     0.01447   -3.85126
     0.01199   -3.82233
     0.00981   -3.79360
     0.00792   -3.76617
     0.00627   -3.74171
     0.00484   -3.72530
     0.00362   -3.70782
     0.00259   -3.68838
     0.00174   -3.67514
     0.00106   -3.66354
     0.00055   -3.65377
     0.00019   -3.64735
     0.00001   -3.64787
    -0.00001   -3.68878
     0.00019   -3.72175
     0.00068   -3.71547
     0.00157   -3.19257
     0.00292   -2.25596
     0.00470   -1.10998
     0.00683   -0.25606
     0.00922    0.27176
     0.01182    0.58137
     0.01465    0.76302
     0.01770    0.87153
     0.02102    0.93622
     0.02464    0.97334
     0.02861    0.99261
     0.03300    0.99970
     0.03790    0.99800
     0.04340    0.98967
     0.04965    0.97614
     0.05680    0.95840
     0.06504    0.93718
     0.07461    0.91306
     0.08567    0.88658
     0.09832    0.85843
     0.11245    0.82954
     0.12780    0.80145
     0.14407    0.77566
     0.16105    0.75371
     0.17869    0.73590
     0.19698    0.72197
     0.21590    0.71077
     0.23534    0.70146
     0.25516    0.69373
     0.27523    0.68750
     0.29544    0.68277
     0.31569    0.67942
     0.33586    0.67730
     0.35588    0.67618
     0.37575    0.67594
     0.39544    0.67646
     0.41494    0.67747
     0.43427    0.67885
     0.45341    0.68053
     0.47239    0.68235
     0.49119    0.68418
     0.50985    0.68591
     0.52838    0.68751
     0.54678    0.68896
     0.56506    0.69015
     0.58324    0.69102
     0.60134    0.69163
     0.61934    0.69194
     0.63728    0.69186
     0.65515    0.69143
     0.67296    0.69064
     0.69072    0.68946
     0.70844    0.68791
     0.72611    0.68603
     0.74373    0.68380
     0.76130    0.68125
     0.77881    0.67848
     0.79622    0.67544
     0.81353    0.67214
     0.83069    0.66889
     0.84762    0.66572
     0.86424    0.66257
     0.88045    0.65971
     0.89612    0.65729
     0.91111    0.65536
     0.92529    0.65351
     0.93859    0.65114
     0.95098    0.64676
     0.96247    0.63775
     0.97316    0.62148
     0.98311    0.59638
     0.99240    0.57196
     1.00000    0.44182
