#      x          Cp  
     1.00000    0.21004
     0.99201    0.13942
     0.98007    0.07052
     0.96646    0.05228
     0.95232    0.03323
     0.93803    0.01505
     0.92373   -0.00035
     0.90942   -0.01678
     0.89510   -0.03029
     0.88078   -0.04501
     0.86646   -0.05803
     0.85215   -0.07092
     0.83783   -0.08472
     0.82349   -0.09738
     0.80917   -0.10999
     0.79485   -0.12260
     0.78052   -0.13504
     0.76620   -0.14770
     0.75189   -0.16058
     0.73757   -0.17354
     0.72326   -0.18678
     0.70894   -0.20047
     0.69464   -0.21473
     0.68033   -0.22967
     0.66601   -0.24561
     0.65169   -0.26218
     0.63735   -0.27907
     0.62301   -0.29668
     0.60868   -0.31503
     0.59435   -0.33303
     0.58001   -0.35081
     0.56567   -0.36925
     0.55132   -0.38871
     0.53698   -0.40997
     0.52267   -0.43197
     0.50837   -0.45352
     0.49407   -0.47544
     0.47976   -0.49813
     0.46546   -0.52195
     0.45116   -0.54710
     0.43688   -0.57322
     0.42260   -0.60036
     0.40833   -0.62895
     0.39407   -0.65880
     0.37982   -0.68942
     0.36557   -0.72163
     0.35134   -0.75619
     0.33712   -0.79224
     0.32290   -0.82999
     0.30870   -0.87149
     0.29453   -0.91595
     0.28038   -0.96189
     0.26625   -1.01009
     0.25212   -1.06168
     0.23802   -1.11956
     0.22396   -1.18438
     0.20999   -1.25501
     0.19607   -1.32235
     0.18214   -1.39607
     0.16827   -1.48218
     0.15446   -1.57726
     0.14077   -1.69206
     0.12725   -1.81258
     0.11383   -1.93568
     0.10050   -2.08473
     0.08743   -2.27465
     0.07471   -2.49038
     0.06236   -2.72017
     0.05048   -3.00268
     0.03939   -3.39152
     0.02963   -3.85615
     0.02147   -4.31965
     0.01515   -4.89569
     0.01052   -5.58736
     0.00718   -6.29752
     0.00478   -6.84829
     0.00302   -7.19983
     0.00173   -7.60387
     0.00081   -8.75698
     0.00026   -9.62147
     0.00005  -10.35415
     0.00030   -8.87662
     0.00112   -4.29871
     0.00243   -1.88839
     0.00416   -0.69274
     0.00640    0.05287
     0.00938    0.51977
     0.01345    0.80799
     0.01905    0.95568
     0.02656    0.99991
     0.03604    0.97556
     0.04717    0.91971
     0.05932    0.85434
     0.07195    0.79210
     0.08501    0.73711
     0.09837    0.68748
     0.11190    0.64409
     0.12558    0.60560
     0.13933    0.57115
     0.15315    0.54162
     0.16710    0.51677
     0.18113    0.49168
     0.19514    0.46995
     0.20922    0.45110
     0.22332    0.43260
     0.23743    0.41704
     0.25161    0.40320
     0.26581    0.38853
     0.27998    0.37558
     0.29418    0.36448
     0.30841    0.35340
     0.32263    0.34306
     0.33687    0.33405
     0.35112    0.32527
     0.36538    0.31662
     0.37964    0.30901
     0.39391    0.30204
     0.40819    0.29486
     0.42247    0.28810
     0.43675    0.28228
     0.45104    0.27647
     0.46534    0.27039
     0.47962    0.26472
     0.49388    0.25970
     0.50816    0.25586
     0.52246    0.25271
     0.53678    0.24903
     0.55109    0.24538
     0.56541    0.24257
     0.57974    0.23988
     0.59409    0.23679
     0.60843    0.23372
     0.62276    0.23085
     0.63710    0.22851
     0.65144    0.22646
     0.66578    0.22344
     0.68012    0.22019
     0.69447    0.21795
     0.70882    0.21585
     0.72316    0.21341
     0.73751    0.21069
     0.75187    0.20800
     0.76621    0.20618
     0.78054    0.20387
     0.79488    0.20060
     0.80923    0.19859
     0.82355    0.19668
     0.83786    0.19389
     0.85220    0.19038
     0.86654    0.18819
     0.88084    0.18631
     0.89515    0.18254
     0.90947    0.17945
     0.92376    0.17766
     0.93804    0.17231
     0.95230    0.16964
     0.96644    0.16367
     0.98007    0.15538
     0.99200    0.19060
     1.00000    0.21004
