#      x          Cp  
     1.00000    0.23755
     0.99191    0.21212
     0.97981    0.14630
     0.96666    0.09148
     0.95322    0.04329
     0.93968   -0.00162
     0.92606   -0.04431
     0.91241   -0.08520
     0.89878   -0.12431
     0.88517   -0.16186
     0.87159   -0.19805
     0.85802   -0.23280
     0.84446   -0.26610
     0.83089   -0.29751
     0.81732   -0.32786
     0.80374   -0.35805
     0.79016   -0.38768
     0.77658   -0.41622
     0.76301   -0.44344
     0.74943   -0.46849
     0.73583   -0.49098
     0.72221   -0.51234
     0.70856   -0.53342
     0.69489   -0.55431
     0.68121   -0.57534
     0.66751   -0.59673
     0.65381   -0.61832
     0.64010   -0.64037
     0.62640   -0.66266
     0.61268   -0.68481
     0.59896   -0.70663
     0.58523   -0.72870
     0.57149   -0.75180
     0.55775   -0.77590
     0.54401   -0.80038
     0.53028   -0.82487
     0.51655   -0.84951
     0.50281   -0.87437
     0.48906   -0.89949
     0.47531   -0.92523
     0.46156   -0.95233
     0.44782   -0.98082
     0.43408   -1.00996
     0.42036   -1.03921
     0.40663   -1.06889
     0.39290   -1.09945
     0.37918   -1.13122
     0.36546   -1.16418
     0.35175   -1.19890
     0.33806   -1.23516
     0.32438   -1.27207
     0.31071   -1.30893
     0.29705   -1.34725
     0.28339   -1.38940
     0.26976   -1.43504
     0.25616   -1.48260
     0.24260   -1.53163
     0.22907   -1.58240
     0.21556   -1.63480
     0.20207   -1.69083
     0.18862   -1.75491
     0.17525   -1.82496
     0.16195   -1.89748
     0.14872   -1.97390
     0.13555   -2.05828
     0.12248   -2.15220
     0.10955   -2.26128
     0.09679   -2.38009
     0.08419   -2.50698
     0.07178   -2.66719
     0.05970   -2.86459
     0.04810   -3.09562
     0.03695   -3.35791
     0.02667   -3.74017
     0.01780   -4.22450
     0.01078   -4.93238
     0.00662   -5.85132
     0.00377   -5.99557
     0.00180   -6.63996
     0.00062  -10.01087
     0.00007  -13.32217
     0.00006  -11.71988
     0.00056   -8.01791
     0.00165   -4.90947
     0.00354   -1.50014
     0.00667    0.26072
     0.01150    0.74156
     0.01830    0.95091
     0.02793    0.99975
     0.04014    0.96749
     0.05283    0.91737
     0.06612    0.86685
     0.07958    0.82109
     0.09309    0.78163
     0.10673    0.74709
     0.12045    0.71654
     0.13419    0.68975
     0.14795    0.66609
     0.16176    0.64488
     0.17558    0.62574
     0.18941    0.60851
     0.20326    0.59292
     0.21712    0.57871
     0.23100    0.56562
     0.24488    0.55358
     0.25876    0.54250
     0.27265    0.53229
     0.28656    0.52281
     0.30047    0.51391
     0.31438    0.50558
     0.32830    0.49781
     0.34221    0.49055
     0.35612    0.48373
     0.37002    0.47726
     0.38392    0.47108
     0.39781    0.46520
     0.41171    0.45964
     0.42560    0.45435
     0.43948    0.44930
     0.45336    0.44442
     0.46724    0.43971
     0.48112    0.43519
     0.49500    0.43094
     0.50886    0.42689
     0.52272    0.42282
     0.53656    0.41845
     0.55041    0.41377
     0.56426    0.40894
     0.57812    0.40394
     0.59198    0.39883
     0.60585    0.39373
     0.61973    0.38878
     0.63361    0.38400
     0.64748    0.37928
     0.66136    0.37465
     0.67524    0.37006
     0.68911    0.36549
     0.70299    0.36089
     0.71686    0.35629
     0.73074    0.35172
     0.74461    0.34723
     0.75849    0.34274
     0.77236    0.33816
     0.78623    0.33351
     0.80010    0.32883
     0.81396    0.32418
     0.82782    0.31946
     0.84168    0.31451
     0.85555    0.30940
     0.86941    0.30432
     0.88327    0.29935
     0.89714    0.29467
     0.91099    0.29038
     0.92483    0.28685
     0.93863    0.28385
     0.95239    0.28127
     0.96606    0.28006
     0.97947    0.28097
     0.99182    0.29205
     1.00000    0.23755
