#      x          Cp  
     0.98350    0.27102
     0.97537    0.16962
     0.96486    0.13941
     0.95365    0.17988
     0.94204    0.11043
     0.92899    0.05154
     0.91446    0.01625
     0.89883   -0.01559
     0.88255   -0.04490
     0.86595   -0.07317
     0.84920   -0.10046
     0.83238   -0.12674
     0.81555   -0.15230
     0.79872   -0.17732
     0.78191   -0.20197
     0.76511   -0.22635
     0.74833   -0.25052
     0.73158   -0.27439
     0.71485   -0.29801
     0.69815   -0.32134
     0.68146   -0.34413
     0.66477   -0.36642
     0.64809   -0.38843
     0.63142   -0.41031
     0.61474   -0.43210
     0.59806   -0.45388
     0.58138   -0.47568
     0.56470   -0.49755
     0.54801   -0.51963
     0.53133   -0.54201
     0.51463   -0.56477
     0.49794   -0.58806
     0.48125   -0.61196
     0.46455   -0.63660
     0.44786   -0.66212
     0.43117   -0.68861
     0.41448   -0.71622
     0.39779   -0.74525
     0.38112   -0.77600
     0.36445   -0.80894
     0.34781   -0.84409
     0.33120   -0.88165
     0.31462   -0.92211
     0.29807   -0.96603
     0.28158   -1.01441
     0.26519   -1.07059
     0.24895   -1.13367
     0.23288   -1.20123
     0.21699   -1.27276
     0.20127   -1.34807
     0.18570   -1.42140
     0.17023   -1.50016
     0.15492   -1.58778
     0.13985   -1.69459
     0.12523   -1.83247
     0.11124   -1.99220
     0.09801   -2.16692
     0.08565   -2.36672
     0.07428   -2.58183
     0.06394   -2.81873
     0.05465   -3.09301
     0.04638   -3.36484
     0.03903   -3.61048
     0.03250   -3.81397
     0.02669   -3.92719
     0.02153   -3.96134
     0.01695   -3.90076
     0.01288   -3.74456
     0.00927   -3.67042
     0.00607   -3.64662
     0.00328   -3.62006
     0.00085   -3.57364
    -0.00125   -3.50454
    -0.00306   -3.41455
    -0.00460   -3.30747
    -0.00589   -3.17346
    -0.00696   -3.01008
    -0.00784   -2.82697
    -0.00853   -2.62855
    -0.00908   -2.49860
    -0.00947   -2.43635
    -0.00967   -2.29106
    -0.00968   -2.01465
    -0.00948   -1.61845
    -0.00905   -1.16830
    -0.00838   -0.69918
    -0.00744   -0.25011
    -0.00623    0.14840
    -0.00474    0.47069
    -0.00294    0.72488
    -0.00081    0.89504
     0.00159    0.97119
     0.00429    0.99787
     0.00730    0.99711
     0.01068    0.98206
     0.01451    0.95916
     0.01885    0.92994
     0.02385    0.89662
     0.02966    0.86165
     0.03651    0.82575
     0.04464    0.78765
     0.05429    0.74918
     0.06562    0.71114
     0.07859    0.67443
     0.09296    0.64015
     0.10839    0.60950
     0.12459    0.58279
     0.14128    0.55708
     0.15822    0.53273
     0.17528    0.51003
     0.19240    0.48868
     0.20952    0.46853
     0.22663    0.44909
     0.24366    0.43074
     0.26058    0.40999
     0.27737    0.39173
     0.29414    0.37618
     0.31090    0.36167
     0.32767    0.34833
     0.34445    0.33585
     0.36125    0.32417
     0.37806    0.31317
     0.39487    0.30269
     0.41170    0.29273
     0.42852    0.28327
     0.44535    0.27428
     0.46218    0.26577
     0.47902    0.25770
     0.49585    0.25000
     0.51267    0.24270
     0.52950    0.23578
     0.54632    0.22928
     0.56313    0.22320
     0.57994    0.21757
     0.59675    0.21245
     0.61356    0.20786
     0.63038    0.20373
     0.64720    0.20005
     0.66403    0.19681
     0.68086    0.19402
     0.69771    0.19177
     0.71458    0.19004
     0.73147    0.18873
     0.74838    0.18778
     0.76531    0.18722
     0.78226    0.18701
     0.79922    0.18710
     0.81620    0.18754
     0.83318    0.18844
     0.85013    0.18983
     0.86700    0.19193
     0.88370    0.19467
     0.90001    0.19822
     0.91558    0.20429
     0.92992    0.21259
     0.94269    0.24939
     0.95402    0.28354
     0.96499    0.22313
     0.97539    0.23229
     0.98350    0.27102
