#      x          Cp  
     1.00000    0.19166
     0.99210    0.01618
     0.98135   -0.08187
     0.96912   -0.15927
     0.95548   -0.19718
     0.94097   -0.24515
     0.92604   -0.27325
     0.91103   -0.32902
     0.89600   -0.35010
     0.88113   -0.38148
     0.86630   -0.41969
     0.85146   -0.45392
     0.83658   -0.47953
     0.82162   -0.50716
     0.80647   -0.56331
     0.79120   -0.56164
     0.77591   -0.61561
     0.76070   -0.60662
     0.74565   -0.63248
     0.73066   -0.65230
     0.71568   -0.66143
     0.70062   -0.66993
     0.68530   -0.68799
     0.66945   -0.67269
     0.65345   -0.71795
     0.63750   -0.70740
     0.62145   -0.75124
     0.60541   -0.73509
     0.58918   -0.76263
     0.57320   -0.78592
     0.55699   -0.78041
     0.54089   -0.83268
     0.52482   -0.81737
     0.50858   -0.85112
     0.49259   -0.87353
     0.47633   -0.87191
     0.46016   -0.92750
     0.44390   -0.91308
     0.42730   -0.93513
     0.41100   -0.99641
     0.39485   -0.98710
     0.37858   -1.03103
     0.36258   -1.06351
     0.34635   -1.07065
     0.33025   -1.14341
     0.31417   -1.13816
     0.29793   -1.19881
     0.28196   -1.23769
     0.26585   -1.29322
     0.24995   -1.32360
     0.23404   -1.40222
     0.21851   -1.44882
     0.20299   -1.50925
     0.18721   -1.58064
     0.17171   -1.66364
     0.15629   -1.80531
     0.14096   -1.85989
     0.12572   -2.03558
     0.11076   -2.16975
     0.09635   -2.34203
     0.08263   -2.60210
     0.06960   -2.90162
     0.05798   -3.22407
     0.04795   -3.66859
     0.03961   -4.18337
     0.03265   -4.63040
     0.02683   -5.27132
     0.02198   -6.05883
     0.01788   -6.76928
     0.01436   -7.42224
     0.01131   -8.10238
     0.00867   -9.13203
     0.00643  -10.43893
     0.00456  -11.37030
     0.00305  -11.65800
     0.00186  -11.51872
     0.00100  -10.99835
     0.00041  -10.31539
     0.00009   -9.50405
     0.00000   -8.49909
     0.00016   -7.24952
     0.00057   -5.97681
     0.00124   -4.74654
     0.00222   -3.57017
     0.00352   -2.45996
     0.00516   -1.48400
     0.00716   -0.65367
     0.00956   -0.04910
     0.01235    0.33537
     0.01557    0.59643
     0.01930    0.77702
     0.02367    0.89588
     0.02887    0.96457
     0.03512    0.99509
     0.04257    0.99858
     0.05154    0.98199
     0.06222    0.95106
     0.07439    0.91226
     0.08781    0.86806
     0.10176    0.83055
     0.11641    0.78636
     0.13154    0.74940
     0.14692    0.71402
     0.16244    0.68015
     0.17827    0.65504
     0.19379    0.62240
     0.20908    0.59577
     0.22435    0.57301
     0.23987    0.55440
     0.25580    0.52809
     0.27173    0.51419
     0.28780    0.48689
     0.30383    0.47764
     0.31991    0.45036
     0.33599    0.44418
     0.35203    0.41862
     0.36814    0.41314
     0.38414    0.39114
     0.40024    0.38411
     0.41614    0.36691
     0.43203    0.35671
     0.44745    0.34299
     0.46259    0.32974
     0.47762    0.32032
     0.49262    0.31484
     0.50768    0.30825
     0.52292    0.29101
     0.53823    0.29955
     0.55358    0.28476
     0.56881    0.29790
     0.58387    0.29614
     0.59886    0.29840
     0.61381    0.30562
     0.62883    0.31301
     0.64408    0.31760
     0.65980    0.33403
     0.67557    0.33857
     0.69156    0.35419
     0.70747    0.36656
     0.72373    0.38886
     0.74002    0.40844
     0.75590    0.42821
     0.77178    0.44168
     0.78728    0.45941
     0.80263    0.48263
     0.81792    0.49888
     0.83288    0.51806
     0.84775    0.52814
     0.86227    0.53472
     0.87689    0.53801
     0.89111    0.54403
     0.90510    0.54862
     0.91873    0.53972
     0.93238    0.53098
     0.94558    0.51739
     0.95850    0.49916
     0.97067    0.47287
     0.98202    0.42952
     0.99224    0.38641
     1.00000    0.19166
