#      x          Cp  
     1.00000    0.27778
     0.99221    0.24814
     0.98065    0.20347
     0.96757    0.16124
     0.95390    0.12761
     0.94009    0.09526
     0.92617    0.06289
     0.91215    0.03190
     0.89807    0.00214
     0.88396   -0.02703
     0.86983   -0.05563
     0.85567   -0.08407
     0.84149   -0.11238
     0.82731   -0.14058
     0.81314   -0.16858
     0.79899   -0.19612
     0.78485   -0.22345
     0.77072   -0.25064
     0.75660   -0.27764
     0.74249   -0.30461
     0.72838   -0.33162
     0.71427   -0.35878
     0.70018   -0.38600
     0.68610   -0.41319
     0.67202   -0.44004
     0.65793   -0.46656
     0.64385   -0.49317
     0.62976   -0.52010
     0.61566   -0.54764
     0.60156   -0.57577
     0.58746   -0.60460
     0.57337   -0.63478
     0.55930   -0.66607
     0.54525   -0.69769
     0.53123   -0.72910
     0.51721   -0.75954
     0.50320   -0.78945
     0.48919   -0.81895
     0.47518   -0.84784
     0.46117   -0.87616
     0.44716   -0.90424
     0.43314   -0.93218
     0.41912   -0.96010
     0.40510   -0.98813
     0.39108   -1.01641
     0.37706   -1.04518
     0.36305   -1.07453
     0.34904   -1.10455
     0.33503   -1.13546
     0.32103   -1.16751
     0.30704   -1.20086
     0.29306   -1.23592
     0.27910   -1.27352
     0.26516   -1.31328
     0.25125   -1.35521
     0.23737   -1.39982
     0.22353   -1.44714
     0.20973   -1.49754
     0.19598   -1.55214
     0.18228   -1.61087
     0.16865   -1.67466
     0.15509   -1.74536
     0.14163   -1.82251
     0.12828   -1.90946
     0.11507   -2.00702
     0.10203   -2.11702
     0.08919   -2.24489
     0.07663   -2.38976
     0.06445   -2.56140
     0.05274   -2.75973
     0.04154   -3.00282
     0.03133   -3.32244
     0.02274   -3.72934
     0.01588   -4.07525
     0.01064   -4.42987
     0.00690   -5.21692
     0.00429   -6.46235
     0.00251   -7.24339
     0.00131   -7.70888
     0.00053   -8.47642
     0.00015   -9.33302
     0.00017   -9.54510
     0.00063   -6.90725
     0.00156   -3.60702
     0.00304   -1.42284
     0.00528   -0.18053
     0.00864    0.45533
     0.01350    0.81552
     0.01920    0.95756
     0.02626    0.99931
     0.03629    0.98078
     0.04871    0.92765
     0.06107    0.87206
     0.07385    0.81881
     0.08730    0.76911
     0.10102    0.72486
     0.11476    0.68577
     0.12857    0.65076
     0.14248    0.61936
     0.15648    0.59087
     0.17052    0.56510
     0.18460    0.54161
     0.19871    0.52001
     0.21285    0.50011
     0.22701    0.48156
     0.24119    0.46414
     0.25539    0.44786
     0.26959    0.43260
     0.28380    0.41826
     0.29802    0.40476
     0.31225    0.39199
     0.32648    0.37980
     0.34073    0.36819
     0.35497    0.35714
     0.36921    0.34661
     0.38346    0.33657
     0.39771    0.32698
     0.41197    0.31779
     0.42622    0.30892
     0.44047    0.30041
     0.45472    0.29229
     0.46896    0.28461
     0.48321    0.27740
     0.49746    0.27058
     0.51171    0.26408
     0.52596    0.25780
     0.54021    0.25173
     0.55445    0.24600
     0.56868    0.24066
     0.58291    0.23585
     0.59715    0.23150
     0.61138    0.22755
     0.62561    0.22397
     0.63985    0.22074
     0.65409    0.21791
     0.66832    0.21551
     0.68255    0.21364
     0.69679    0.21227
     0.71103    0.21131
     0.72529    0.21082
     0.73955    0.21080
     0.75383    0.21107
     0.76812    0.21153
     0.78241    0.21199
     0.79671    0.21264
     0.81102    0.21357
     0.82533    0.21492
     0.83965    0.21673
     0.85397    0.21921
     0.86828    0.22265
     0.88257    0.22655
     0.89682    0.23069
     0.91106    0.23512
     0.92526    0.24064
     0.93938    0.24760
     0.95339    0.25535
     0.96719    0.26408
     0.98044    0.27505
     0.99217    0.29267
     1.00000    0.27778
