#      x          Cp  
     1.00000    0.41363
     0.99161    0.30692
     0.98057    0.19467
     0.96811    0.09465
     0.95446    0.01383
     0.93997   -0.04605
     0.92473   -0.08766
     0.90878   -0.12203
     0.89235   -0.15784
     0.87565   -0.19554
     0.85880   -0.23341
     0.84188   -0.27077
     0.82490   -0.30796
     0.80788   -0.34596
     0.79087   -0.38630
     0.77391   -0.42777
     0.75701   -0.46985
     0.74016   -0.51275
     0.72338   -0.55639
     0.70667   -0.59872
     0.68997   -0.63857
     0.67326   -0.67851
     0.65655   -0.71986
     0.63987   -0.76158
     0.62321   -0.80328
     0.60658   -0.84466
     0.58994   -0.88472
     0.57328   -0.92506
     0.55663   -0.96870
     0.54004   -1.01449
     0.52351   -1.05913
     0.50701   -1.10232
     0.49052   -1.14555
     0.47404   -1.18931
     0.45759   -1.23432
     0.44119   -1.28160
     0.42486   -1.32913
     0.40858   -1.37446
     0.39233   -1.41955
     0.37612   -1.46699
     0.35998   -1.51628
     0.34392   -1.56568
     0.32796   -1.61454
     0.31208   -1.66152
     0.29624   -1.70646
     0.28046   -1.75425
     0.26480   -1.80612
     0.24927   -1.85795
     0.23388   -1.90820
     0.21861   -1.95365
     0.20341   -1.99389
     0.18828   -2.04102
     0.17333   -2.09762
     0.15861   -2.15604
     0.14414   -2.21810
     0.13001   -2.29318
     0.11635   -2.37715
     0.10325   -2.46690
     0.09084   -2.56450
     0.07925   -2.67214
     0.06863   -2.79807
     0.05909   -2.93454
     0.05063   -3.06860
     0.04321   -3.20156
     0.03674   -3.34876
     0.03114   -3.50214
     0.02628   -3.66986
     0.02207   -3.85484
     0.01842   -4.02682
     0.01524   -4.19542
     0.01248   -4.35259
     0.01008   -4.48815
     0.00799   -4.64041
     0.00619   -4.79145
     0.00466   -4.88403
     0.00340   -4.87785
     0.00238   -4.75014
     0.00157   -4.57506
     0.00094   -4.38618
     0.00048   -4.28490
     0.00019   -4.23111
     0.00009   -4.08470
     0.00023   -3.75195
     0.00063   -3.09542
     0.00131   -2.34394
     0.00229   -1.62261
     0.00357   -0.92172
     0.00517   -0.30000
     0.00709    0.16158
     0.00928    0.46778
     0.01172    0.65432
     0.01442    0.78415
     0.01744    0.87609
     0.02084    0.93909
     0.02469    0.97798
     0.02907    0.99679
     0.03407    0.99915
     0.03978    0.98780
     0.04630    0.96495
     0.05378    0.93328
     0.06239    0.89552
     0.07227    0.85404
     0.08351    0.81079
     0.09599    0.76562
     0.10950    0.72153
     0.12390    0.68037
     0.13901    0.64117
     0.15458    0.60413
     0.17047    0.57034
     0.18662    0.53940
     0.20299    0.51068
     0.21950    0.48396
     0.23611    0.45881
     0.25278    0.43543
     0.26951    0.41378
     0.28630    0.39352
     0.30311    0.37432
     0.31995    0.35606
     0.33676    0.33839
     0.35353    0.32181
     0.37027    0.30679
     0.38699    0.29304
     0.40368    0.28009
     0.42031    0.26816
     0.43688    0.25775
     0.45340    0.24903
     0.46986    0.24192
     0.48624    0.23654
     0.50256    0.23423
     0.51892    0.23762
     0.53545    0.24463
     0.55222    0.25309
     0.56920    0.26226
     0.58637    0.27155
     0.60369    0.28033
     0.62112    0.28916
     0.63863    0.29807
     0.65618    0.30695
     0.67373    0.31555
     0.69123    0.32394
     0.70864    0.33228
     0.72596    0.34049
     0.74318    0.34840
     0.76032    0.35597
     0.77736    0.36318
     0.79433    0.37005
     0.81120    0.37675
     0.82796    0.38336
     0.84459    0.38937
     0.86110    0.39462
     0.87748    0.39969
     0.89365    0.40464
     0.90956    0.40900
     0.92510    0.41243
     0.94017    0.41479
     0.95456    0.41677
     0.96804    0.42003
     0.98035    0.42361
     0.99143    0.43723
     1.00000    0.41363
