#      x          Cp  
     1.00000    0.37645
     0.99159    0.32041
     0.98068    0.22383
     0.96827    0.11838
     0.95466    0.01534
     0.94046   -0.08061
     0.92606   -0.16333
     0.91147   -0.22371
     0.89655   -0.26853
     0.88124   -0.30384
     0.86556   -0.33362
     0.84957   -0.36469
     0.83337   -0.39709
     0.81705   -0.43122
     0.80066   -0.46760
     0.78424   -0.50502
     0.76780   -0.54358
     0.75134   -0.58323
     0.73489   -0.62448
     0.71845   -0.66749
     0.70205   -0.71183
     0.68568   -0.75770
     0.66934   -0.80503
     0.65306   -0.85377
     0.63686   -0.90517
     0.62076   -0.95716
     0.60478   -1.00723
     0.58886   -1.05189
     0.57297   -1.09236
     0.55706   -1.12885
     0.54108   -1.15912
     0.52500   -1.18600
     0.50881   -1.21218
     0.49253   -1.24072
     0.47622   -1.27081
     0.45987   -1.30195
     0.44352   -1.33456
     0.42715   -1.36859
     0.41078   -1.40449
     0.39442   -1.44291
     0.37808   -1.48349
     0.36177   -1.52631
     0.34549   -1.57143
     0.32925   -1.61945
     0.31306   -1.67124
     0.29694   -1.72821
     0.28092   -1.78904
     0.26501   -1.85440
     0.24923   -1.92454
     0.23359   -1.99919
     0.21813   -2.08010
     0.20287   -2.16640
     0.18783   -2.25863
     0.17306   -2.35807
     0.15859   -2.46331
     0.14449   -2.57931
     0.13082   -2.70092
     0.11765   -2.82494
     0.10501   -2.94954
     0.09298   -3.07113
     0.08162   -3.19142
     0.07102   -3.30278
     0.06125   -3.40910
     0.05238   -3.50137
     0.04445   -3.57829
     0.03746   -3.64129
     0.03137   -3.68876
     0.02611   -3.73436
     0.02161   -3.76786
     0.01776   -3.78972
     0.01450   -3.82561
     0.01173   -3.85887
     0.00940   -3.87372
     0.00744   -3.86677
     0.00578   -3.83325
     0.00439   -3.78030
     0.00321   -3.72475
     0.00223   -3.68680
     0.00140   -3.76392
     0.00074   -3.98431
     0.00027   -4.18404
     0.00003   -4.27985
     0.00002   -4.17240
     0.00029   -3.66453
     0.00085   -2.83171
     0.00170   -2.01366
     0.00284   -1.28591
     0.00430   -0.66756
     0.00609   -0.13746
     0.00823    0.28095
     0.01076    0.57794
     0.01371    0.76935
     0.01705    0.87894
     0.02083    0.94312
     0.02513    0.98075
     0.03006    0.99794
     0.03579    0.99818
     0.04252    0.98438
     0.05052    0.95962
     0.05998    0.92613
     0.07092    0.88631
     0.08319    0.84373
     0.09661    0.80102
     0.11105    0.75977
     0.12624    0.72010
     0.14190    0.68300
     0.15784    0.64842
     0.17399    0.61627
     0.19029    0.58639
     0.20670    0.55845
     0.22318    0.53235
     0.23971    0.50767
     0.25627    0.48433
     0.27284    0.46229
     0.28942    0.44142
     0.30601    0.42159
     0.32259    0.40254
     0.33914    0.38400
     0.35565    0.36623
     0.37209    0.34907
     0.38841    0.33248
     0.40461    0.31738
     0.42069    0.30471
     0.43670    0.29537
     0.45267    0.28874
     0.46867    0.28519
     0.48473    0.28550
     0.50091    0.28833
     0.51723    0.29296
     0.53370    0.29874
     0.55029    0.30551
     0.56701    0.31300
     0.58384    0.32072
     0.60078    0.32873
     0.61780    0.33707
     0.63487    0.34562
     0.65198    0.35433
     0.66908    0.36313
     0.68614    0.37191
     0.70315    0.38064
     0.72007    0.38935
     0.73691    0.39812
     0.75366    0.40683
     0.77031    0.41538
     0.78687    0.42380
     0.80333    0.43200
     0.81967    0.43995
     0.83590    0.44778
     0.85199    0.45526
     0.86791    0.46232
     0.88364    0.46906
     0.89913    0.47517
     0.91430    0.48139
     0.92905    0.48695
     0.94322    0.49229
     0.95666    0.49651
     0.96924    0.49740
     0.98085    0.49242
     0.99152    0.47787
     1.00000    0.37645
