#      x          Cp  
     1.00000    0.20917
     0.99325    0.09627
     0.98447    0.05418
     0.97435    0.01045
     0.96259   -0.03254
     0.94908   -0.08038
     0.93484   -0.13489
     0.92076   -0.18930
     0.90637   -0.24225
     0.89225   -0.28357
     0.87843   -0.31305
     0.86470   -0.33711
     0.85091   -0.35759
     0.83695   -0.37600
     0.82276   -0.39375
     0.80830   -0.41224
     0.79365   -0.43511
     0.77905   -0.46323
     0.76451   -0.49369
     0.74993   -0.52596
     0.73529   -0.55967
     0.72060   -0.59432
     0.70598   -0.62916
     0.69144   -0.66313
     0.67695   -0.69624
     0.66248   -0.72915
     0.64801   -0.76199
     0.63353   -0.79485
     0.61902   -0.82775
     0.60448   -0.86068
     0.58990   -0.89318
     0.57529   -0.92563
     0.56064   -0.95859
     0.54596   -0.99247
     0.53127   -1.02775
     0.51658   -1.06512
     0.50190   -1.10585
     0.48726   -1.15351
     0.47268   -1.20532
     0.45816   -1.25877
     0.44372   -1.31244
     0.42934   -1.36476
     0.41501   -1.41388
     0.40072   -1.45643
     0.38644   -1.48502
     0.37214   -1.50591
     0.35780   -1.52326
     0.34340   -1.53938
     0.32894   -1.55663
     0.31440   -1.57766
     0.29980   -1.60724
     0.28513   -1.65399
     0.27043   -1.71291
     0.25582   -1.78285
     0.24145   -1.87639
     0.22746   -1.98276
     0.21386   -2.07698
     0.20051   -2.13321
     0.18720   -2.09619
     0.17366   -2.02664
     0.15977   -1.96809
     0.14567   -1.99644
     0.13170   -2.15714
     0.11818   -2.35361
     0.10519   -2.54688
     0.09266   -2.65355
     0.08034   -2.69231
     0.06764   -2.77502
     0.05432   -2.91423
     0.04288   -3.10974
     0.03410   -3.33694
     0.02621   -3.59724
     0.01627   -3.66579
     0.00958   -4.33187
     0.00619   -5.33223
     0.00397   -6.36303
     0.00239   -7.55618
     0.00125   -8.93093
     0.00047  -10.43368
    -0.00001  -11.80196
    -0.00020  -12.38634
    -0.00008  -11.25393
     0.00037   -8.11005
     0.00115   -4.98697
     0.00230   -2.73356
     0.00386   -1.22652
     0.00596   -0.24459
     0.00885    0.38868
     0.01309    0.78652
     0.01991    0.98372
     0.02954    0.99103
     0.04098    0.95250
     0.05382    0.90561
     0.06629    0.84728
     0.07787    0.80015
     0.08950    0.78933
     0.10210    0.78703
     0.11588    0.76852
     0.13031    0.74371
     0.14490    0.71703
     0.15944    0.69588
     0.17401    0.68083
     0.18868    0.66872
     0.20345    0.65864
     0.21824    0.64974
     0.23299    0.64189
     0.24769    0.63463
     0.26236    0.62692
     0.27706    0.61927
     0.29184    0.61226
     0.30667    0.60678
     0.32151    0.60305
     0.33635    0.60030
     0.35119    0.59829
     0.36598    0.59683
     0.38072    0.59574
     0.39540    0.59488
     0.41002    0.59407
     0.42458    0.59321
     0.43910    0.59224
     0.45358    0.59104
     0.46804    0.58948
     0.48249    0.58738
     0.49695    0.58446
     0.51144    0.57989
     0.52598    0.57413
     0.54058    0.56768
     0.55524    0.56080
     0.56997    0.55371
     0.58473    0.54672
     0.59952    0.54034
     0.61428    0.53561
     0.62900    0.53164
     0.64364    0.52788
     0.65821    0.52401
     0.67272    0.51969
     0.68719    0.51455
     0.70165    0.50779
     0.71616    0.49825
     0.73076    0.48714
     0.74548    0.47495
     0.76030    0.46208
     0.77512    0.44906
     0.78992    0.43644
     0.80475    0.42565
     0.81944    0.41767
     0.83389    0.41064
     0.84813    0.40388
     0.86219    0.39677
     0.87619    0.38865
     0.89026    0.37872
     0.90462    0.36454
     0.91924    0.34455
     0.93352    0.32256
     0.94796    0.29933
     0.96181    0.27875
     0.97386    0.26151
     0.98419    0.24590
     0.99314    0.23621
     1.00000    0.20917
