#      x          Cp  
     1.00000    0.38982
     0.99183    0.33300
     0.98109    0.24416
     0.96865    0.11986
     0.95499   -0.00460
     0.94102   -0.12387
     0.92724   -0.23771
     0.91348   -0.31624
     0.89944   -0.37209
     0.88507   -0.41457
     0.87038   -0.44828
     0.85539   -0.47929
     0.84016   -0.51196
     0.82480   -0.54953
     0.80940   -0.59039
     0.79398   -0.63041
     0.77850   -0.66716
     0.76296   -0.70730
     0.74741   -0.74758
     0.73182   -0.78664
     0.71619   -0.82821
     0.70057   -0.87180
     0.68496   -0.91546
     0.66931   -0.95486
     0.65362   -0.99734
     0.63794   -1.04304
     0.62227   -1.08773
     0.60659   -1.13003
     0.59087   -1.17157
     0.57511   -1.21473
     0.55932   -1.25817
     0.54350   -1.30366
     0.52765   -1.35388
     0.51183   -1.41271
     0.49607   -1.47344
     0.48033   -1.53367
     0.46463   -1.60256
     0.44902   -1.66993
     0.43342   -1.73475
     0.41784   -1.80467
     0.40233   -1.88308
     0.38695   -1.96709
     0.37170   -2.05019
     0.35660   -2.13188
     0.34164   -2.20231
     0.32675   -2.25402
     0.31188   -2.29517
     0.29702   -2.32523
     0.28216   -2.34390
     0.26724   -2.35165
     0.25227   -2.36253
     0.23730   -2.37735
     0.22232   -2.38752
     0.20733   -2.41228
     0.19243   -2.45186
     0.17765   -2.50217
     0.16306   -2.56823
     0.14873   -2.63786
     0.13461   -2.70719
     0.12075   -2.79336
     0.10726   -2.89601
     0.09422   -3.00821
     0.08169   -3.12207
     0.06976   -3.24905
     0.05856   -3.36739
     0.04817   -3.49063
     0.03882   -3.62508
     0.03062   -3.70962
     0.02364   -3.76917
     0.01794   -3.79737
     0.01339   -3.81763
     0.00990   -3.76338
     0.00719   -3.64085
     0.00511   -3.86227
     0.00360   -3.35385
     0.00237   -3.26570
     0.00132   -4.32013
     0.00072   -3.99488
     0.00043   -3.11486
     0.00021   -2.80905
     0.00002   -3.58698
     0.00006   -2.92484
     0.00019   -2.37386
     0.00032   -4.10687
     0.00105   -2.72838
     0.00232   -1.09931
     0.00380   -0.50941
     0.00545   -0.38011
     0.00760    0.09614
     0.01027    0.40358
     0.01356    0.63731
     0.01764    0.80882
     0.02270    0.91940
     0.02900    0.98078
     0.03683    0.99994
     0.04643    0.98858
     0.05789    0.95820
     0.07082    0.91801
     0.08481    0.87510
     0.09955    0.83267
     0.11475    0.79197
     0.13025    0.75395
     0.14599    0.71781
     0.16186    0.68336
     0.17782    0.65069
     0.19393    0.62040
     0.21016    0.59057
     0.22635    0.55862
     0.24250    0.52076
     0.25859    0.47861
     0.27442    0.43167
     0.28980    0.37981
     0.30474    0.32936
     0.31935    0.28555
     0.33385    0.25103
     0.34828    0.22154
     0.36267    0.20078
     0.37711    0.18927
     0.39165    0.18355
     0.40628    0.18394
     0.42102    0.18844
     0.43584    0.19446
     0.45066    0.20380
     0.46551    0.21713
     0.48039    0.23484
     0.49537    0.25748
     0.51049    0.28258
     0.52575    0.30914
     0.54121    0.33897
     0.55688    0.36806
     0.57260    0.39408
     0.58825    0.41619
     0.60385    0.43462
     0.61943    0.45072
     0.63499    0.46601
     0.65050    0.48047
     0.66595    0.49338
     0.68140    0.50438
     0.69684    0.51516
     0.71225    0.52510
     0.72765    0.53387
     0.74304    0.54209
     0.75840    0.54948
     0.77376    0.55619
     0.78909    0.56279
     0.80437    0.56919
     0.81956    0.57510
     0.83467    0.58016
     0.84967    0.58408
     0.86456    0.58643
     0.87936    0.58693
     0.89405    0.58601
     0.90860    0.58242
     0.92304    0.57553
     0.93733    0.56570
     0.95142    0.55040
     0.96518    0.53110
     0.97818    0.50786
     0.98984    0.48112
     0.99842    0.38982
