#      x          Cp  
     1.00002    0.39576
     0.99023    0.32949
     0.97820    0.21895
     0.96497    0.08736
     0.95094   -0.03526
     0.93659   -0.15994
     0.92211   -0.26763
     0.90741   -0.34110
     0.89233   -0.39063
     0.87687   -0.43165
     0.86105   -0.46477
     0.84492   -0.49830
     0.82858   -0.53732
     0.81213   -0.58208
     0.79561   -0.62352
     0.77901   -0.66452
     0.76235   -0.70671
     0.74565   -0.75018
     0.72891   -0.79369
     0.71215   -0.83833
     0.69538   -0.88431
     0.67860   -0.93053
     0.66179   -0.97468
     0.64496   -1.02105
     0.62813   -1.07058
     0.61130   -1.11740
     0.59444   -1.16123
     0.57753   -1.20666
     0.56060   -1.25609
     0.54364   -1.30220
     0.52667   -1.35933
     0.50975   -1.42224
     0.49285   -1.48218
     0.47602   -1.55678
     0.45928   -1.62864
     0.44259   -1.69592
     0.42595   -1.76897
     0.40940   -1.84806
     0.39297   -1.93511
     0.37671   -2.02730
     0.36061   -2.11603
     0.34466   -2.19016
     0.32880   -2.25098
     0.31300   -2.29794
     0.29722   -2.32595
     0.28141   -2.34768
     0.26559   -2.36087
     0.24973   -2.36811
     0.23384   -2.38320
     0.21797   -2.40079
     0.20215   -2.42857
     0.18644   -2.47496
     0.17094   -2.53996
     0.15572   -2.61064
     0.14083   -2.68308
     0.12632   -2.76332
     0.11231   -2.86996
     0.09894   -2.97877
     0.08630   -3.08924
     0.07454   -3.20705
     0.06378   -3.32504
     0.05411   -3.43419
     0.04557   -3.54486
     0.03815   -3.65452
     0.03178   -3.71295
     0.02635   -3.75468
     0.02173   -3.80011
     0.01783   -3.83989
     0.01454   -3.77730
     0.01174   -3.85004
     0.00939   -3.84669
     0.00744   -3.52325
     0.00571   -3.91533
     0.00433   -3.74630
     0.00322   -3.19108
     0.00217   -3.46993
     0.00127   -4.31243
     0.00071   -4.10527
     0.00045   -3.03210
     0.00023   -2.88536
     0.00004   -3.45026
     0.00007   -3.18367
     0.00028   -2.18144
     0.00046   -4.41531
     0.00134   -2.38875
     0.00270   -0.69581
     0.00403   -0.59172
     0.00554   -0.35929
     0.00738    0.04424
     0.00952    0.32215
     0.01194    0.52364
     0.01472    0.69254
     0.01788    0.81103
     0.02148    0.89576
     0.02561    0.95305
     0.03036    0.98615
     0.03585    0.99930
     0.04225    0.99667
     0.04974    0.98188
     0.05852    0.95765
     0.06873    0.92600
     0.08046    0.88959
     0.09365    0.85065
     0.10811    0.81086
     0.12354    0.77142
     0.13968    0.73345
     0.15630    0.69663
     0.17321    0.66121
     0.19034    0.62808
     0.20760    0.59676
     0.22491    0.56293
     0.24220    0.52334
     0.25930    0.47800
     0.27605    0.42744
     0.29235    0.37294
     0.30819    0.31937
     0.32373    0.27646
     0.33912    0.24031
     0.35440    0.21283
     0.36967    0.19575
     0.38502    0.18708
     0.40045    0.18445
     0.41599    0.18696
     0.43162    0.19373
     0.44734    0.20306
     0.46312    0.21568
     0.47897    0.23341
     0.49493    0.25689
     0.51107    0.28385
     0.52740    0.31328
     0.54394    0.34444
     0.56067    0.37548
     0.57749    0.40127
     0.59429    0.42359
     0.61102    0.44285
     0.62774    0.45896
     0.64440    0.47539
     0.66099    0.48985
     0.67755    0.50181
     0.69409    0.51306
     0.71059    0.52439
     0.72704    0.53394
     0.74348    0.54171
     0.75988    0.55094
     0.77621    0.55753
     0.79252    0.56368
     0.80874    0.57121
     0.82483    0.57705
     0.84080    0.58184
     0.85663    0.58530
     0.87232    0.58697
     0.88785    0.58715
     0.90320    0.58424
     0.91836    0.57805
     0.93329    0.56885
     0.94792    0.55543
     0.96214    0.53658
     0.97577    0.51346
     0.98853    0.49066
     0.99870    0.39576
