#      x          Cp  
     1.00000    0.43488
     0.99214    0.23872
     0.98206    0.15918
     0.97071    0.09556
     0.95790    0.04158
     0.94368   -0.00590
     0.92844   -0.04679
     0.91272   -0.08209
     0.89691   -0.11283
     0.88102   -0.14048
     0.86497   -0.16636
     0.84871   -0.19191
     0.83232   -0.21879
     0.81586   -0.24658
     0.79941   -0.27573
     0.78301   -0.30742
     0.76666   -0.34043
     0.75036   -0.37389
     0.73408   -0.40678
     0.71779   -0.44004
     0.70151   -0.47447
     0.68525   -0.51122
     0.66903   -0.54948
     0.65287   -0.58849
     0.63673   -0.62712
     0.62060   -0.66627
     0.60446   -0.70700
     0.58831   -0.75065
     0.57218   -0.79737
     0.55609   -0.84721
     0.54008   -0.90239
     0.52420   -0.96190
     0.50845   -1.02305
     0.49286   -1.08399
     0.47740   -1.14347
     0.46204   -1.20118
     0.44672   -1.25446
     0.43139   -1.30084
     0.41599   -1.34519
     0.40054   -1.39057
     0.38508   -1.44160
     0.36970   -1.49471
     0.35440   -1.54779
     0.33916   -1.59760
     0.32395   -1.64548
     0.30874   -1.69326
     0.29355   -1.74298
     0.27841   -1.79548
     0.26334   -1.84960
     0.24835   -1.90573
     0.23343   -1.96480
     0.21859   -2.02747
     0.20387   -2.09532
     0.18938   -2.17603
     0.17518   -2.26440
     0.16132   -2.35344
     0.14778   -2.43987
     0.13453   -2.52126
     0.12156   -2.59889
     0.10894   -2.67278
     0.09679   -2.74858
     0.08523   -2.82897
     0.07430   -2.88658
     0.06404   -2.92862
     0.05459   -3.00771
     0.04613   -3.10067
     0.03872   -3.15526
     0.03230   -3.17053
     0.02680   -3.18382
     0.02210   -3.20344
     0.01807   -3.23903
     0.01459   -3.27539
     0.01157   -3.31714
     0.00896   -3.46205
     0.00675   -3.72221
     0.00492   -3.99249
     0.00343   -4.25534
     0.00223   -4.48996
     0.00130   -4.67044
     0.00061   -4.76134
     0.00014   -4.71911
    -0.00010   -4.49776
    -0.00012   -4.06749
     0.00009   -3.39451
     0.00055   -2.58527
     0.00123   -1.83285
     0.00213   -1.17723
     0.00327   -0.62566
     0.00464   -0.17081
     0.00626    0.19857
     0.00816    0.49247
     0.01036    0.72192
     0.01290    0.88374
     0.01584    0.96722
     0.01927    0.99672
     0.02324    0.99864
     0.02784    0.98605
     0.03314    0.96356
     0.03917    0.93494
     0.04607    0.90621
     0.05416    0.88093
     0.06387    0.85429
     0.07540    0.81745
     0.08862    0.78197
     0.10347    0.75153
     0.11952    0.72059
     0.13609    0.69179
     0.15266    0.66589
     0.16920    0.64300
     0.18580    0.62226
     0.20251    0.60313
     0.21929    0.58528
     0.23607    0.56867
     0.25286    0.55320
     0.26963    0.53877
     0.28641    0.52523
     0.30320    0.51246
     0.31999    0.50037
     0.33677    0.48891
     0.35356    0.47800
     0.37035    0.46762
     0.38714    0.45770
     0.40393    0.44821
     0.42072    0.43910
     0.43751    0.43036
     0.45430    0.42195
     0.47109    0.41386
     0.48788    0.40605
     0.50467    0.39851
     0.52146    0.39122
     0.53825    0.38416
     0.55504    0.37733
     0.57183    0.37070
     0.58862    0.36427
     0.60541    0.35802
     0.62220    0.35195
     0.63899    0.34606
     0.65577    0.34033
     0.67256    0.33477
     0.68935    0.32937
     0.70614    0.32412
     0.72293    0.31904
     0.73972    0.31412
     0.75651    0.30937
     0.77329    0.30480
     0.79007    0.30043
     0.80686    0.29626
     0.82363    0.29233
     0.84040    0.28866
     0.85717    0.28532
     0.87384    0.28240
     0.89043    0.28001
     0.90703    0.27833
     0.92370    0.27768
     0.94011    0.27866
     0.95550    0.28212
     0.96927    0.28928
     0.98132    0.30216
     0.99186    0.32940
     1.00000    0.43488
