#      x          Cp  
     1.00000    0.12774
     0.99243    0.22116
     0.98125    0.22950
     0.96884    0.20897
     0.95585    0.17356
     0.94263    0.13525
     0.92917    0.09568
     0.91553    0.05642
     0.90176    0.01893
     0.88791   -0.01610
     0.87406   -0.04799
     0.86023   -0.07649
     0.84640   -0.10218
     0.83257   -0.12590
     0.81872   -0.14865
     0.80485   -0.17140
     0.79099   -0.19494
     0.77713   -0.21973
     0.76329   -0.24553
     0.74949   -0.27157
     0.73572   -0.29719
     0.72197   -0.32178
     0.70824   -0.34424
     0.69451   -0.36428
     0.68077   -0.38223
     0.66702   -0.39826
     0.65324   -0.41283
     0.63945   -0.42649
     0.62563   -0.43984
     0.61180   -0.45322
     0.59796   -0.46685
     0.58411   -0.48072
     0.57025   -0.49495
     0.55639   -0.50951
     0.54252   -0.52417
     0.52866   -0.53921
     0.51479   -0.55453
     0.50092   -0.56978
     0.48705   -0.58544
     0.47317   -0.60134
     0.45930   -0.61724
     0.44542   -0.63384
     0.43154   -0.65079
     0.41765   -0.66794
     0.40376   -0.68593
     0.38987   -0.70476
     0.37598   -0.72450
     0.36209   -0.74533
     0.34819   -0.76734
     0.33430   -0.79071
     0.32040   -0.81569
     0.30651   -0.84252
     0.29262   -0.87157
     0.27873   -0.90318
     0.26484   -0.93794
     0.25096   -0.97628
     0.23709   -1.01925
     0.22324   -1.06714
     0.20942   -1.12188
     0.19563   -1.18259
     0.18188   -1.24893
     0.16816   -1.32303
     0.15447   -1.40756
     0.14084   -1.50885
     0.12730   -1.63126
     0.11391   -1.77954
     0.10075   -1.95447
     0.08788   -2.15538
     0.07533   -2.36360
     0.06304   -2.56855
     0.05095   -2.78531
     0.03922   -3.12287
     0.02845   -3.63443
     0.01931   -4.30730
     0.01240   -5.18386
     0.00769   -6.27658
     0.00459   -7.60476
     0.00253   -9.45123
     0.00121   -9.93835
     0.00038  -11.42762
     0.00001  -12.65871
     0.00014  -11.77971
     0.00093   -5.91692
     0.00228   -2.92734
     0.00432   -0.57879
     0.00720    0.34489
     0.01145    0.79137
     0.01804    0.96968
     0.02777    0.99790
     0.03985    0.95932
     0.05282    0.90401
     0.06608    0.84959
     0.07952    0.80039
     0.09311    0.75677
     0.10678    0.71784
     0.12053    0.68298
     0.13433    0.65128
     0.14815    0.62225
     0.16199    0.59546
     0.17584    0.57055
     0.18969    0.54748
     0.20355    0.52576
     0.21742    0.50566
     0.23129    0.48675
     0.24517    0.46890
     0.25906    0.45206
     0.27295    0.43610
     0.28684    0.42086
     0.30074    0.40627
     0.31463    0.39234
     0.32853    0.37900
     0.34243    0.36615
     0.35633    0.35374
     0.37023    0.34179
     0.38413    0.33027
     0.39803    0.31917
     0.41192    0.30846
     0.42581    0.29811
     0.43969    0.28817
     0.45358    0.27874
     0.46746    0.26956
     0.48133    0.26090
     0.49520    0.25295
     0.50907    0.24550
     0.52294    0.23866
     0.53681    0.23243
     0.55069    0.22664
     0.56457    0.22136
     0.57846    0.21642
     0.59235    0.21156
     0.60625    0.20684
     0.62014    0.20229
     0.63403    0.19793
     0.64792    0.19380
     0.66181    0.19006
     0.67569    0.18681
     0.68957    0.18401
     0.70346    0.18182
     0.71735    0.18023
     0.73124    0.17913
     0.74515    0.17847
     0.75907    0.17807
     0.77301    0.17770
     0.78695    0.17735
     0.80091    0.17677
     0.81487    0.17580
     0.82884    0.17452
     0.84279    0.17304
     0.85674    0.17154
     0.87067    0.17031
     0.88459    0.17018
     0.89850    0.17179
     0.91242    0.17579
     0.92634    0.18312
     0.94019    0.19370
     0.95388    0.20714
     0.96735    0.22353
     0.98027    0.22562
     0.99212    0.18115
     1.00000    0.12774
