#      x          Cp  
     1.00000    0.46649
     0.99130    0.26101
     0.98022    0.17308
     0.96781    0.09976
     0.95392    0.03564
     0.93854   -0.02304
     0.92193   -0.07731
     0.90449   -0.12854
     0.88654   -0.17936
     0.86819   -0.23065
     0.84956   -0.28257
     0.83078   -0.33586
     0.81199   -0.39141
     0.79333   -0.45222
     0.77492   -0.51967
     0.75682   -0.58965
     0.73906   -0.66054
     0.72160   -0.73082
     0.70440   -0.79881
     0.68738   -0.86033
     0.67047   -0.91661
     0.65359   -0.96962
     0.63670   -1.01977
     0.61973   -1.06705
     0.60265   -1.11104
     0.58542   -1.14948
     0.56798   -1.18433
     0.55034   -1.21764
     0.53250   -1.25069
     0.51448   -1.28500
     0.49635   -1.32369
     0.47819   -1.37017
     0.46006   -1.42055
     0.44203   -1.47353
     0.42412   -1.52853
     0.40634   -1.58515
     0.38865   -1.64315
     0.37105   -1.70249
     0.35351   -1.76332
     0.33605   -1.82583
     0.31869   -1.89004
     0.30148   -1.95640
     0.28447   -2.02578
     0.26770   -2.09771
     0.25119   -2.17197
     0.23493   -2.24898
     0.21886   -2.32975
     0.20293   -2.41538
     0.18705   -2.50580
     0.17129   -2.61031
     0.15603   -2.74061
     0.14181   -2.94516
     0.12896   -3.19441
     0.11737   -3.42237
     0.10674   -3.60690
     0.09678   -3.67938
     0.08723   -3.62440
     0.07806   -3.57252
     0.06948   -3.64611
     0.06167   -3.79711
     0.05466   -3.93611
     0.04836   -4.02497
     0.04265   -4.05056
     0.03748   -4.06429
     0.03279   -4.08131
     0.02855   -4.11263
     0.02472   -4.18241
     0.02127   -4.32175
     0.01815   -4.45069
     0.01534   -4.54401
     0.01279   -4.60255
     0.01049   -4.65459
     0.00844   -4.70697
     0.00663   -4.75487
     0.00505   -4.79418
     0.00369   -4.81919
     0.00254   -4.82289
     0.00159   -4.79659
     0.00083   -4.73023
     0.00026   -4.61246
    -0.00013   -4.43156
    -0.00034   -4.17672
    -0.00035   -3.83962
    -0.00018   -3.41839
     0.00021   -2.89815
     0.00080   -2.33208
     0.00159   -1.79247
     0.00259   -1.29795
     0.00378   -0.85617
     0.00518   -0.46799
     0.00679   -0.13128
     0.00861    0.15728
     0.01067    0.40077
     0.01296    0.60434
     0.01549    0.76680
     0.01829    0.87874
     0.02137    0.94721
     0.02472    0.98330
     0.02836    0.99799
     0.03233    0.99917
     0.03667    0.99119
     0.04146    0.97713
     0.04675    0.95937
     0.05265    0.93908
     0.05922    0.91650
     0.06658    0.89273
     0.07483    0.86909
     0.08410    0.84806
     0.09455    0.82950
     0.10624    0.80807
     0.11904    0.78063
     0.13262    0.75093
     0.14673    0.72220
     0.16132    0.70355
     0.17662    0.69358
     0.19285    0.68773
     0.21010    0.67977
     0.22817    0.66820
     0.24678    0.65581
     0.26566    0.64303
     0.28460    0.63022
     0.30353    0.61769
     0.32249    0.60568
     0.34155    0.59396
     0.36076    0.58249
     0.38012    0.57127
     0.39963    0.56043
     0.41925    0.55023
     0.43890    0.54049
     0.45857    0.53108
     0.47822    0.52193
     0.49789    0.51291
     0.51759    0.50375
     0.53738    0.49466
     0.55725    0.48585
     0.57722    0.47750
     0.59722    0.46996
     0.61721    0.46409
     0.63711    0.45928
     0.65687    0.45502
     0.67647    0.45101
     0.69588    0.44698
     0.71513    0.44254
     0.73424    0.43761
     0.75322    0.43211
     0.77210    0.42577
     0.79089    0.41823
     0.80961    0.40784
     0.82827    0.39481
     0.84686    0.38134
     0.86532    0.36866
     0.88358    0.35824
     0.90155    0.35326
     0.91911    0.35794
     0.93597    0.36535
     0.95176    0.37143
     0.96618    0.37425
     0.97916    0.37808
     0.99081    0.39278
     1.00000    0.46649
