#      x          Cp  
     1.00000   -0.28552
     0.99105    0.13744
     0.97949    0.10493
     0.96636    0.24344
     0.95150    0.09311
     0.93510    0.07551
     0.91774    0.06065
     0.90005    0.04658
     0.88234    0.03295
     0.86463    0.01930
     0.84686    0.00523
     0.82902   -0.00941
     0.81108   -0.02470
     0.79307   -0.04072
     0.77500   -0.05736
     0.75691   -0.07485
     0.73884   -0.09342
     0.72080   -0.11325
     0.70281   -0.13459
     0.68488   -0.15793
     0.66701   -0.18337
     0.64918   -0.21092
     0.63136   -0.24085
     0.61350   -0.27360
     0.59554   -0.31018
     0.57739   -0.35201
     0.55901   -0.39775
     0.54044   -0.44625
     0.52182   -0.49519
     0.50340   -0.53680
     0.48541   -0.57734
     0.46796   -0.62437
     0.45104   -0.68336
     0.43456   -0.77369
     0.41838   -0.90798
     0.40256   -1.01326
     0.38737   -1.08969
     0.37326   -1.26720
     0.36040   -1.54607
     0.34860   -1.84864
     0.33752   -2.15133
     0.32684   -2.42739
     0.31623   -2.59425
     0.30537   -2.63237
     0.29394   -2.61013
     0.28167   -2.54734
     0.26834   -2.46499
     0.25400   -2.42345
     0.23916   -2.44160
     0.22440   -2.47273
     0.21001   -2.50544
     0.19600   -2.52582
     0.18216   -2.52886
     0.16836   -2.52806
     0.15463   -2.53416
     0.14111   -2.55000
     0.12795   -2.56647
     0.11527   -2.58215
     0.10316   -2.59837
     0.09167   -2.62056
     0.08088   -2.64145
     0.07086   -2.65792
     0.06168   -2.67068
     0.05336   -2.68221
     0.04586   -2.70660
     0.03916   -2.74459
     0.03325   -2.77665
     0.02811   -2.80137
     0.02366   -2.82136
     0.01983   -2.84665
     0.01651   -2.89731
     0.01363   -2.94683
     0.01111   -2.98989
     0.00891   -3.02920
     0.00699   -3.04573
     0.00532   -3.03756
     0.00389   -3.03284
     0.00270   -3.04330
     0.00173   -3.02587
     0.00098   -2.96368
     0.00045   -2.83983
     0.00011   -2.63956
    -0.00002   -2.32784
     0.00005   -1.91706
     0.00032   -1.49162
     0.00077   -1.07827
     0.00142   -0.69240
     0.00226   -0.34235
     0.00330   -0.03285
     0.00456    0.23271
     0.00602    0.44817
     0.00768    0.63018
     0.00957    0.78384
     0.01171    0.90554
     0.01414    0.97459
     0.01690    0.99809
     0.02002    0.99839
     0.02355    0.99034
     0.02750    0.97887
     0.03195    0.96366
     0.03700    0.94380
     0.04282    0.91744
     0.04961    0.88474
     0.05765    0.84694
     0.06714    0.80308
     0.07808    0.75419
     0.09008    0.70318
     0.10257    0.65368
     0.11530    0.60938
     0.12844    0.57055
     0.14225    0.53604
     0.15692    0.50568
     0.17250    0.47934
     0.18880    0.45707
     0.20558    0.43864
     0.22273    0.42255
     0.24024    0.40851
     0.25805    0.39625
     0.27604    0.38409
     0.29407    0.37258
     0.31208    0.36276
     0.33016    0.35582
     0.34844    0.35142
     0.36698    0.34828
     0.38570    0.34595
     0.40436    0.33984
     0.42274    0.33741
     0.44125    0.34651
     0.46010    0.34765
     0.47916    0.34709
     0.49831    0.34599
     0.51743    0.34525
     0.53642    0.34620
     0.55524    0.34794
     0.57387    0.34964
     0.59236    0.35087
     0.61079    0.35049
     0.62927    0.34805
     0.64788    0.34498
     0.66665    0.34188
     0.68552    0.33945
     0.70440    0.33955
     0.72314    0.34138
     0.74166    0.34345
     0.75993    0.34513
     0.77795    0.34571
     0.79579    0.34392
     0.81349    0.34051
     0.83113    0.33601
     0.84872    0.33057
     0.86631    0.32435
     0.88390    0.31754
     0.90150    0.31127
     0.91901    0.30529
     0.93606    0.29739
     0.95209    0.29310
     0.96665    0.39741
     0.97960    0.23699
     0.99107    0.23445
     1.00000   -0.28552
