#      x          Cp  
     1.00000    0.28186
     0.99342    0.19628
     0.98494    0.16491
     0.97528    0.14096
     0.96421    0.11981
     0.95164    0.09870
     0.93832    0.07727
     0.92528    0.05628
     0.91210    0.03429
     0.89865    0.00970
     0.88533   -0.01845
     0.87205   -0.04813
     0.85868   -0.07826
     0.84519   -0.10602
     0.83169   -0.12974
     0.81819   -0.15248
     0.80466   -0.17550
     0.79115   -0.20067
     0.77765   -0.22808
     0.76414   -0.25711
     0.75062   -0.28815
     0.73710   -0.32236
     0.72361   -0.35815
     0.71015   -0.39427
     0.69671   -0.42856
     0.68326   -0.45929
     0.66978   -0.48939
     0.65628   -0.52024
     0.64279   -0.55611
     0.62932   -0.59627
     0.61590   -0.63533
     0.60252   -0.66963
     0.58914   -0.69047
     0.57573   -0.70232
     0.56228   -0.71016
     0.54877   -0.71689
     0.53524   -0.72589
     0.52169   -0.73529
     0.50813   -0.74465
     0.49458   -0.75396
     0.48103   -0.76329
     0.46748   -0.77269
     0.45391   -0.78231
     0.44034   -0.79245
     0.42677   -0.80320
     0.41319   -0.81461
     0.39960   -0.82709
     0.38603   -0.84137
     0.37247   -0.85647
     0.35891   -0.87180
     0.34536   -0.88584
     0.33179   -0.89814
     0.31821   -0.91146
     0.30462   -0.92742
     0.29102   -0.95048
     0.27744   -0.97925
     0.26389   -1.01025
     0.25037   -1.04131
     0.23688   -1.06864
     0.22339   -1.09547
     0.20990   -1.12400
     0.19639   -1.15612
     0.18285   -1.19375
     0.16929   -1.23787
     0.15573   -1.29060
     0.14224   -1.35912
     0.12887   -1.44334
     0.11562   -1.53846
     0.10241   -1.64395
     0.08908   -1.75228
     0.07565   -1.89070
     0.06260   -2.10911
     0.04989   -2.40756
     0.03712   -2.82881
     0.02461   -3.52074
     0.01438   -4.79665
     0.00615   -8.16344
     0.00247  -12.18312
     0.00089  -18.05220
     0.00015  -26.45753
     0.00002  -26.75957
     0.00054  -12.91353
     0.00178   -4.97584
     0.00437   -1.13464
     0.01130    0.68485
     0.02152    0.97450
     0.03435    0.99313
     0.04762    0.94956
     0.06079    0.89954
     0.07415    0.85149
     0.08773    0.80472
     0.10120    0.76159
     0.11457    0.72504
     0.12797    0.69324
     0.14149    0.66480
     0.15509    0.63751
     0.16871    0.60999
     0.18232    0.58358
     0.19588    0.55887
     0.20942    0.53753
     0.22297    0.51898
     0.23657    0.50187
     0.25020    0.48516
     0.26384    0.46717
     0.27747    0.44906
     0.29106    0.43154
     0.30464    0.41569
     0.31823    0.40207
     0.33184    0.38929
     0.34547    0.37668
     0.35911    0.36266
     0.37274    0.34762
     0.38635    0.33271
     0.39993    0.31869
     0.41351    0.30686
     0.42710    0.29612
     0.44071    0.28577
     0.45433    0.27488
     0.46795    0.26291
     0.48155    0.25083
     0.49514    0.23901
     0.50872    0.22817
     0.52230    0.21813
     0.53589    0.20830
     0.54948    0.19810
     0.56306    0.18623
     0.57660    0.17435
     0.59011    0.16377
     0.60358    0.15629
     0.61704    0.15338
     0.63049    0.15369
     0.64395    0.15730
     0.65742    0.16720
     0.67088    0.18129
     0.68433    0.19367
     0.69776    0.19991
     0.71117    0.18841
     0.72453    0.16848
     0.73784    0.14973
     0.75109    0.14258
     0.76430    0.16091
     0.77750    0.18726
     0.79073    0.21317
     0.80404    0.22786
     0.81744    0.22561
     0.83095    0.21821
     0.84451    0.20985
     0.85805    0.20823
     0.87149    0.21287
     0.88486    0.21889
     0.89826    0.22472
     0.91177    0.22782
     0.92499    0.22910
     0.93806    0.22954
     0.95141    0.22937
     0.96406    0.22883
     0.97519    0.22890
     0.98489    0.23085
     0.99340    0.23993
     1.00000    0.28186
