#      x          Cp  
     1.00000    0.43585
     0.99188    0.25507
     0.97954    0.17376
     0.96599    0.11318
     0.95207    0.06469
     0.93815    0.02325
     0.92421   -0.01363
     0.91028   -0.04709
     0.89635   -0.07742
     0.88241   -0.10575
     0.86846   -0.13246
     0.85451   -0.15738
     0.84054   -0.18166
     0.82657   -0.20550
     0.81259   -0.22842
     0.79860   -0.25142
     0.78461   -0.27452
     0.77062   -0.29686
     0.75663   -0.31952
     0.74264   -0.34245
     0.72865   -0.36478
     0.71466   -0.38747
     0.70068   -0.41021
     0.68670   -0.43136
     0.67271   -0.45298
     0.65872   -0.47490
     0.64473   -0.49514
     0.63073   -0.51569
     0.61673   -0.53672
     0.60273   -0.55681
     0.58871   -0.57729
     0.57469   -0.59848
     0.56066   -0.62000
     0.54664   -0.64200
     0.53261   -0.66474
     0.51859   -0.68876
     0.50458   -0.71309
     0.49058   -0.73776
     0.47658   -0.76382
     0.46261   -0.78936
     0.44863   -0.81427
     0.43467   -0.84007
     0.42072   -0.86466
     0.40677   -0.88797
     0.39281   -0.91141
     0.37885   -0.93511
     0.36489   -0.95938
     0.35093   -0.98462
     0.33698   -1.01059
     0.32303   -1.03738
     0.30908   -1.06533
     0.29515   -1.09500
     0.28122   -1.12658
     0.26731   -1.16007
     0.25341   -1.19531
     0.23953   -1.23351
     0.22567   -1.27643
     0.21185   -1.32253
     0.19807   -1.37254
     0.18434   -1.42732
     0.17066   -1.48460
     0.15703   -1.54579
     0.14344   -1.61356
     0.12991   -1.69238
     0.11647   -1.78348
     0.10313   -1.89121
     0.08995   -2.02371
     0.07700   -2.18268
     0.06432   -2.37319
     0.05199   -2.61417
     0.04027   -2.92581
     0.02951   -3.34679
     0.02051   -3.92248
     0.01379   -4.68902
     0.00913   -5.59962
     0.00587   -6.72282
     0.00356   -8.15799
     0.00192   -9.73421
     0.00080  -11.42582
     0.00017  -12.61352
     0.00001  -11.76428
     0.00030   -8.62952
     0.00109   -5.11985
     0.00241   -2.52809
     0.00430   -0.88855
     0.00691    0.05019
     0.01055    0.57889
     0.01576    0.86501
     0.02318    0.98366
     0.03290    0.99576
     0.04419    0.95576
     0.05632    0.89928
     0.06899    0.84212
     0.08203    0.78958
     0.09536    0.74285
     0.10890    0.70157
     0.12260    0.66442
     0.13640    0.63080
     0.15026    0.60023
     0.16417    0.57223
     0.17811    0.54618
     0.19207    0.52196
     0.20605    0.49988
     0.22005    0.47925
     0.23406    0.45994
     0.24809    0.44204
     0.26213    0.42514
     0.27619    0.40915
     0.29025    0.39408
     0.30432    0.37952
     0.31839    0.36559
     0.33246    0.35259
     0.34654    0.34004
     0.36061    0.32803
     0.37469    0.31691
     0.38877    0.30608
     0.40284    0.29579
     0.41692    0.28652
     0.43101    0.27725
     0.44508    0.26835
     0.45916    0.26064
     0.47325    0.25314
     0.48734    0.24592
     0.50143    0.23944
     0.51553    0.23327
     0.52963    0.22736
     0.54373    0.22177
     0.55784    0.21668
     0.57195    0.21177
     0.58607    0.20642
     0.60018    0.20153
     0.61430    0.19697
     0.62841    0.19205
     0.64252    0.18749
     0.65662    0.18320
     0.67072    0.17857
     0.68480    0.17467
     0.69888    0.17144
     0.71296    0.16792
     0.72703    0.16518
     0.74109    0.16328
     0.75516    0.16149
     0.76922    0.16033
     0.78329    0.15975
     0.79735    0.15920
     0.81141    0.15930
     0.82548    0.16003
     0.83954    0.16072
     0.85359    0.16200
     0.86763    0.16413
     0.88167    0.16697
     0.89569    0.17107
     0.90971    0.17685
     0.92373    0.18464
     0.93774    0.19531
     0.95175    0.20956
     0.96576    0.22859
     0.97940    0.25603
     0.99182    0.30319
     1.00000    0.43585
