#      x          Cp  
     1.00000    0.71520
     0.99329   -0.34507
     0.98547   -0.67537
     0.97743   -0.25446
     0.96932    0.09766
     0.96084    0.19138
     0.95163    0.15358
     0.94162    0.17857
     0.93099    0.22605
     0.91980    0.24861
     0.90797    0.24634
     0.89515    0.19512
     0.88082    0.11590
     0.86480    0.04859
     0.84736   -0.01049
     0.82866   -0.05840
     0.80873   -0.09513
     0.78765   -0.12353
     0.76554   -0.14897
     0.74263   -0.17616
     0.71928   -0.20714
     0.69569   -0.24247
     0.67196   -0.28016
     0.64824   -0.32084
     0.62458   -0.36915
     0.60103   -0.42628
     0.57784   -0.49195
     0.55510   -0.55646
     0.53272   -0.61750
     0.51053   -0.67310
     0.48845   -0.72739
     0.46647   -0.78370
     0.44463   -0.84330
     0.42300   -0.90701
     0.40162   -0.97453
     0.38054   -1.04638
     0.35985   -1.12441
     0.33960   -1.20722
     0.31984   -1.29445
     0.30057   -1.37948
     0.28173   -1.45813
     0.26327   -1.52610
     0.24511   -1.58338
     0.22727   -1.63881
     0.20985   -1.69904
     0.19306   -1.77998
     0.17711   -1.87755
     0.16213   -1.99019
     0.14819   -2.10948
     0.13527   -2.23299
     0.12334   -2.35213
     0.11233   -2.46154
     0.10218   -2.55730
     0.09281   -2.63128
     0.08415   -2.68177
     0.07615   -2.72073
     0.06876   -2.75113
     0.06192   -2.77883
     0.05561   -2.81048
     0.04977   -2.85606
     0.04438   -2.91204
     0.03940   -2.97849
     0.03479   -3.07085
     0.03053   -3.17982
     0.02660   -3.29578
     0.02296   -3.43945
     0.01960   -3.61157
     0.01653   -3.76742
     0.01374   -3.89098
     0.01121   -3.97937
     0.00895   -4.01782
     0.00697   -3.98679
     0.00527   -3.85328
     0.00383   -3.59287
     0.00264   -3.28357
     0.00169   -2.95481
     0.00096   -2.62406
     0.00044   -2.30292
     0.00013   -1.98754
     0.00000   -1.67665
     0.00006   -1.37110
     0.00032   -1.06490
     0.00081   -0.75325
     0.00155   -0.42822
     0.00255   -0.11864
     0.00383    0.15445
     0.00537    0.38658
     0.00717    0.57885
     0.00924    0.72797
     0.01158    0.83697
     0.01417    0.91174
     0.01701    0.95965
     0.02011    0.98724
     0.02348    0.99893
     0.02712    0.99832
     0.03107    0.98805
     0.03534    0.97002
     0.03996    0.94562
     0.04496    0.91566
     0.05038    0.88099
     0.05626    0.84211
     0.06263    0.79925
     0.06954    0.75300
     0.07702    0.70370
     0.08513    0.65181
     0.09391    0.59847
     0.10339    0.54545
     0.11364    0.49408
     0.12471    0.44648
     0.13667    0.40441
     0.14961    0.36681
     0.16357    0.33264
     0.17856    0.30063
     0.19452    0.26813
     0.21132    0.23511
     0.22876    0.20079
     0.24668    0.16876
     0.26496    0.14051
     0.28359    0.11782
     0.30258    0.10094
     0.32195    0.09015
     0.34177    0.08408
     0.36206    0.08112
     0.38279    0.07881
     0.40383    0.07456
     0.42505    0.07038
     0.44637    0.06717
     0.46778    0.06729
     0.48934    0.07154
     0.51118    0.08146
     0.53341    0.09576
     0.55617    0.11360
     0.57940    0.12852
     0.60284    0.13757
     0.62642    0.14028
     0.65015    0.13967
     0.67382    0.13907
     0.69729    0.14222
     0.72063    0.14949
     0.74377    0.15965
     0.76656    0.16800
     0.78878    0.17269
     0.81013    0.17376
     0.83029    0.17632
     0.84898    0.18484
     0.86614    0.20598
     0.88177    0.23863
     0.89578    0.28393
     0.90826    0.33003
     0.91940    0.37716
     0.92948    0.40268
     0.93882    0.39335
     0.94763    0.35174
     0.95608    0.24112
     0.96431    0.04679
     0.97223   -0.32495
     0.97978   -0.77657
     0.98712   -0.95616
     0.99409   -0.23544
     1.00000    0.71520
