#      x          Cp  
     1.00000    0.38732
     0.99337    0.23312
     0.98477    0.17781
     0.97486    0.13710
     0.96335    0.10272
     0.95008    0.07159
     0.93629    0.04490
     0.92284    0.02212
     0.90917    0.00103
     0.89510   -0.01924
     0.88119   -0.03832
     0.86748   -0.05643
     0.85382   -0.07398
     0.84010   -0.09127
     0.82627   -0.10854
     0.81227   -0.12597
     0.79811   -0.14381
     0.78395   -0.16213
     0.76985   -0.18068
     0.75577   -0.19946
     0.74168   -0.21851
     0.72754   -0.23786
     0.71336   -0.25751
     0.69915   -0.27740
     0.68497   -0.29739
     0.67081   -0.31760
     0.65665   -0.33814
     0.64249   -0.35910
     0.62832   -0.38056
     0.61414   -0.40263
     0.59995   -0.42553
     0.58576   -0.44967
     0.57157   -0.47467
     0.55738   -0.50030
     0.54321   -0.52648
     0.52904   -0.55305
     0.51488   -0.57991
     0.50073   -0.60682
     0.48659   -0.63328
     0.47244   -0.65972
     0.45830   -0.68641
     0.44414   -0.71352
     0.42999   -0.74120
     0.41583   -0.76970
     0.40168   -0.79933
     0.38753   -0.83092
     0.37338   -0.86398
     0.35925   -0.89811
     0.34513   -0.93320
     0.33102   -0.96913
     0.31693   -1.00582
     0.30284   -1.04321
     0.28877   -1.08115
     0.27470   -1.11976
     0.26065   -1.15923
     0.24660   -1.19971
     0.23257   -1.24138
     0.21856   -1.28450
     0.20457   -1.32942
     0.19062   -1.37662
     0.17671   -1.42697
     0.16284   -1.48184
     0.14898   -1.54457
     0.13511   -1.62084
     0.12124   -1.70583
     0.10746   -1.79765
     0.09392   -1.88643
     0.08065   -1.98098
     0.06713   -2.16504
     0.05380   -2.42979
     0.04182   -2.69366
     0.03253   -2.97016
     0.02279   -3.56821
     0.01271   -4.52890
     0.00741   -5.80079
     0.00464   -7.25728
     0.00279   -9.02165
     0.00151  -11.26907
     0.00065  -14.02366
     0.00014  -16.74767
    -0.00002  -17.33415
     0.00018  -12.94056
     0.00074   -7.56481
     0.00168   -3.91769
     0.00307   -1.70549
     0.00509   -0.39152
     0.00819    0.40589
     0.01461    0.88352
     0.02594    0.99996
     0.03576    0.97550
     0.04647    0.92567
     0.05997    0.86155
     0.07377    0.80621
     0.08743    0.75928
     0.10132    0.71763
     0.11553    0.67912
     0.12970    0.64466
     0.14392    0.61369
     0.15803    0.58639
     0.17210    0.56220
     0.18621    0.54039
     0.20038    0.52045
     0.21461    0.50183
     0.22889    0.48451
     0.24316    0.46841
     0.25742    0.45335
     0.27169    0.43913
     0.28597    0.42557
     0.30025    0.41237
     0.31451    0.39910
     0.32876    0.38603
     0.34301    0.37327
     0.35724    0.36089
     0.37147    0.34894
     0.38569    0.33749
     0.39992    0.32673
     0.41415    0.31698
     0.42839    0.30791
     0.44264    0.29930
     0.45690    0.29101
     0.47116    0.28291
     0.48544    0.27485
     0.49972    0.26657
     0.51399    0.25757
     0.52827    0.24826
     0.54253    0.23888
     0.55679    0.22955
     0.57103    0.22041
     0.58526    0.21158
     0.59948    0.20328
     0.61369    0.19594
     0.62789    0.18921
     0.64208    0.18289
     0.65627    0.17685
     0.67046    0.17100
     0.68466    0.16521
     0.69888    0.15931
     0.71313    0.15282
     0.72740    0.14614
     0.74165    0.13956
     0.75588    0.13320
     0.77010    0.12723
     0.78436    0.12179
     0.79857    0.11714
     0.81267    0.11382
     0.82663    0.11147
     0.84045    0.10981
     0.85417    0.10873
     0.86784    0.10811
     0.88156    0.10778
     0.89545    0.10751
     0.90957    0.10550
     0.92339    0.10361
     0.93705    0.10475
     0.95098    0.11210
     0.96391    0.12871
     0.97516    0.15281
     0.98491    0.18630
     0.99342    0.23676
     1.00000    0.38732
