#      x          Cp  
     1.00000    0.35654
     0.99144    0.17668
     0.98002    0.12484
     0.96688    0.08687
     0.95215    0.05425
     0.93618    0.02384
     0.91933   -0.00406
     0.90195   -0.03084
     0.88425   -0.05600
     0.86637   -0.08081
     0.84839   -0.10441
     0.83036   -0.12800
     0.81229   -0.15104
     0.79421   -0.17431
     0.77613   -0.19734
     0.75805   -0.22041
     0.73998   -0.24415
     0.72193   -0.26761
     0.70386   -0.29190
     0.68577   -0.31676
     0.66768   -0.34225
     0.64960   -0.36836
     0.63152   -0.39501
     0.61345   -0.42329
     0.59538   -0.45216
     0.57732   -0.48262
     0.55928   -0.51416
     0.54126   -0.54781
     0.52330   -0.58321
     0.50541   -0.61785
     0.48768   -0.65925
     0.47014   -0.72451
     0.45278   -0.76695
     0.43534   -0.78911
     0.41787   -0.83094
     0.40051   -0.88722
     0.38333   -0.96590
     0.36649   -1.08054
     0.35009   -1.18847
     0.33407   -1.28815
     0.31846   -1.40889
     0.30321   -1.51179
     0.28805   -1.57996
     0.27272   -1.60747
     0.25706   -1.63266
     0.24133   -1.73330
     0.22590   -1.84568
     0.21081   -1.94866
     0.19622   -2.10064
     0.18232   -2.28395
     0.16910   -2.46405
     0.15648   -2.61919
     0.14428   -2.70486
     0.13239   -2.75788
     0.12083   -2.81019
     0.10972   -2.92775
     0.09922   -3.04319
     0.08939   -3.17354
     0.08027   -3.30250
     0.07184   -3.40564
     0.06409   -3.46748
     0.05697   -3.49664
     0.05046   -3.48633
     0.04452   -3.43079
     0.03913   -3.34781
     0.03424   -3.29767
     0.02982   -3.33202
     0.02585   -3.39824
     0.02232   -3.49075
     0.01919   -3.51031
     0.01644   -3.39713
     0.01401   -3.24557
     0.01185   -3.07893
     0.00991   -2.92194
     0.00815   -2.82048
     0.00653   -2.85308
     0.00505   -3.04731
     0.00375   -3.25233
     0.00266   -3.39286
     0.00178   -3.41594
     0.00113   -3.26921
     0.00068   -3.07020
     0.00043   -2.78601
     0.00036   -2.47290
     0.00047   -2.11719
     0.00077   -1.74844
     0.00129   -1.36769
     0.00205   -0.97575
     0.00311   -0.55206
     0.00451   -0.06419
     0.00627    0.39210
     0.00832    0.68346
     0.01061    0.84678
     0.01311    0.93114
     0.01580    0.97318
     0.01871    0.99442
     0.02190    0.99991
     0.02541    0.99290
     0.02931    0.97878
     0.03364    0.96060
     0.03848    0.93703
     0.04391    0.90914
     0.05004    0.87881
     0.05699    0.84539
     0.06488    0.80981
     0.07385    0.77456
     0.08407    0.74116
     0.09568    0.71028
     0.10873    0.67980
     0.12311    0.64984
     0.13860    0.62155
     0.15496    0.59568
     0.17195    0.57141
     0.18936    0.54894
     0.20700    0.52659
     0.22467    0.50414
     0.24230    0.48333
     0.25991    0.46661
     0.27766    0.45409
     0.29558    0.44243
     0.31363    0.42958
     0.33171    0.41565
     0.34978    0.40200
     0.36779    0.38867
     0.38573    0.37587
     0.40362    0.36455
     0.42149    0.35483
     0.43939    0.34601
     0.45733    0.33813
     0.47531    0.33059
     0.49334    0.32376
     0.51141    0.31678
     0.52949    0.30994
     0.54759    0.30327
     0.56569    0.29693
     0.58379    0.29076
     0.60190    0.28501
     0.62001    0.27954
     0.63813    0.27427
     0.65626    0.26969
     0.67440    0.26467
     0.69255    0.26061
     0.71071    0.25631
     0.72888    0.25252
     0.74706    0.24872
     0.76524    0.24547
     0.78344    0.24217
     0.80163    0.23946
     0.81983    0.23676
     0.83800    0.23467
     0.85614    0.23279
     0.87420    0.23150
     0.89208    0.23100
     0.90965    0.23125
     0.92667    0.23314
     0.94280    0.23657
     0.95767    0.24324
     0.97094    0.25554
     0.98245    0.27327
     0.99108    0.35654
