#      x          Cp  
     1.00000    0.51095
     0.99147    0.33722
     0.98071    0.31250
     0.96879    0.21676
     0.95612    0.12922
     0.94311    0.11795
     0.92969    0.13407
     0.91579    0.08184
     0.90116   -0.00229
     0.88562   -0.04386
     0.86921   -0.05607
     0.85211   -0.08686
     0.83446   -0.13761
     0.81637   -0.18576
     0.79795   -0.22458
     0.77943   -0.25932
     0.76116   -0.28870
     0.74346   -0.32329
     0.72648   -0.38648
     0.71017   -0.47866
     0.69432   -0.56984
     0.67864   -0.62243
     0.66279   -0.62494
     0.64663   -0.61951
     0.63016   -0.63981
     0.61360   -0.71739
     0.59709   -0.81264
     0.58064   -0.89866
     0.56419   -0.93309
     0.54770   -0.95579
     0.53129   -0.99656
     0.51512   -1.11340
     0.49933   -1.28670
     0.48390   -1.48047
     0.46869   -1.66393
     0.45353   -1.81008
     0.43836   -1.94181
     0.42322   -2.06341
     0.40825   -2.18065
     0.39359   -2.28744
     0.37915   -2.37507
     0.36467   -2.42495
     0.34967   -2.40749
     0.33372   -2.36886
     0.31688   -2.35255
     0.30013   -2.45033
     0.28443   -2.58514
     0.26966   -2.69555
     0.25508   -2.69848
     0.23986   -2.63754
     0.22371   -2.59111
     0.20758   -2.69532
     0.19280   -2.87011
     0.17928   -3.00853
     0.16629   -3.00944
     0.15306   -2.93309
     0.13944   -2.86742
     0.12619   -2.93854
     0.11414   -3.04737
     0.10311   -3.09301
     0.09247   -2.96022
     0.08164   -2.75998
     0.07079   -2.63730
     0.06094   -2.72185
     0.05254   -2.80953
     0.04523   -2.79190
     0.03860   -2.59955
     0.03244   -2.39534
     0.02687   -2.26495
     0.02209   -2.31382
     0.01812   -2.40030
     0.01485   -2.44805
     0.01212   -2.43049
     0.00982   -2.29342
     0.00785   -2.11252
     0.00615   -1.94263
     0.00468   -1.80629
     0.00342   -1.72059
     0.00233   -1.75905
     0.00142   -1.86792
     0.00074   -1.93983
     0.00027   -1.94047
     0.00003   -1.84560
     0.00002   -1.63601
     0.00024   -1.35710
     0.00069   -1.07158
     0.00136   -0.78003
     0.00227   -0.47440
     0.00343   -0.11540
     0.00487    0.26732
     0.00659    0.57462
     0.00860    0.78360
     0.01091    0.90688
     0.01357    0.96973
     0.01659    0.99518
     0.02003    0.99985
     0.02391    0.99443
     0.02821    0.98457
     0.03290    0.97081
     0.03804    0.95232
     0.04370    0.92775
     0.05011    0.89946
     0.05757    0.87032
     0.06646    0.84002
     0.07718    0.80844
     0.08993    0.77605
     0.10444    0.74268
     0.12002    0.70421
     0.13604    0.66796
     0.15247    0.64491
     0.16955    0.62891
     0.18720    0.60649
     0.20493    0.57777
     0.22255    0.55426
     0.24023    0.54323
     0.25819    0.53561
     0.27639    0.52104
     0.29462    0.49984
     0.31275    0.48057
     0.33087    0.47213
     0.34910    0.46883
     0.36749    0.46339
     0.38594    0.44860
     0.40437    0.43159
     0.42275    0.41911
     0.44113    0.41652
     0.45958    0.41601
     0.47808    0.41079
     0.49657    0.39679
     0.51500    0.38191
     0.53337    0.37364
     0.55171    0.37507
     0.57006    0.37744
     0.58842    0.37256
     0.60676    0.35847
     0.62505    0.34420
     0.64331    0.33958
     0.66154    0.34409
     0.67975    0.34767
     0.69792    0.33919
     0.71601    0.32364
     0.73401    0.31242
     0.75193    0.31728
     0.76980    0.32596
     0.78757    0.32324
     0.80520    0.30630
     0.82262    0.29406
     0.83983    0.30461
     0.85682    0.31926
     0.87351    0.31121
     0.88978    0.29012
     0.90551    0.29580
     0.92057    0.32384
     0.93479    0.31822
     0.94800    0.28605
     0.96019    0.31455
     0.97146    0.37379
     0.98190    0.32741
     0.99167    0.41161
     1.00000    0.51095
