#      x          Cp  
     1.00000    0.49508
     0.99186    0.32192
     0.97998    0.27695
     0.96697    0.17579
     0.95351    0.12905
     0.94011    0.10803
     0.92687    0.09563
     0.91370    0.05637
     0.90048    0.00036
     0.88721   -0.03818
     0.87408   -0.04146
     0.86115   -0.04014
     0.84823   -0.05747
     0.83496   -0.10593
     0.82193   -0.16792
     0.80891   -0.26933
     0.79614   -0.29545
     0.78326   -0.40856
     0.77050   -0.51231
     0.75767   -0.54968
     0.74497   -0.67991
     0.73260   -0.87341
     0.72016   -0.97191
     0.70709   -1.00083
     0.69358   -1.09333
     0.68043   -1.25393
     0.66773   -1.36912
     0.65495   -1.35420
     0.64158   -1.29872
     0.62765   -1.30210
     0.61375   -1.39022
     0.60023   -1.47857
     0.58691   -1.50002
     0.57343   -1.47183
     0.55959   -1.43863
     0.54547   -1.44059
     0.53132   -1.46699
     0.51730   -1.49803
     0.50340   -1.52389
     0.48955   -1.54513
     0.47567   -1.56305
     0.46173   -1.57351
     0.44772   -1.58006
     0.43367   -1.58863
     0.41961   -1.60940
     0.40561   -1.64048
     0.39168   -1.67195
     0.37779   -1.69446
     0.36389   -1.70597
     0.34995   -1.71674
     0.33598   -1.73438
     0.32203   -1.76388
     0.30815   -1.79628
     0.29433   -1.82630
     0.28053   -1.84968
     0.26673   -1.87358
     0.25294   -1.90423
     0.23920   -1.94751
     0.22556   -1.99387
     0.21202   -2.03581
     0.19856   -2.06886
     0.18514   -2.10059
     0.17177   -2.13592
     0.15845   -2.17731
     0.14522   -2.22485
     0.13214   -2.28711
     0.11927   -2.35515
     0.10659   -2.41201
     0.09404   -2.45563
     0.08160   -2.52563
     0.06936   -2.66520
     0.05765   -2.79593
     0.04684   -2.85191
     0.03635   -2.97371
     0.02517   -3.33676
     0.01709   -3.58304
     0.01219   -3.78270
     0.00733   -3.49018
     0.00256   -3.89303
     0.00092   -6.82432
     0.00015  -10.56406
    -0.00005  -13.30957
     0.00037   -8.40333
     0.00152   -3.33577
     0.00388   -1.02522
     0.00875    0.18990
     0.01448    0.69497
     0.02281    0.93201
     0.03565    0.99973
     0.04781    0.98452
     0.06038    0.94681
     0.07376    0.90199
     0.08736    0.85715
     0.10094    0.81237
     0.11452    0.77020
     0.12819    0.73246
     0.14200    0.69788
     0.15590    0.66466
     0.16981    0.63330
     0.18373    0.60456
     0.19769    0.57846
     0.21172    0.55395
     0.22577    0.52940
     0.23980    0.50531
     0.25379    0.48313
     0.26779    0.46500
     0.28188    0.44920
     0.29605    0.43358
     0.31025    0.41504
     0.32439    0.39555
     0.33847    0.37699
     0.35254    0.36179
     0.36664    0.34838
     0.38080    0.33510
     0.39497    0.31945
     0.40910    0.30272
     0.42316    0.28670
     0.43720    0.27382
     0.45129    0.26330
     0.46542    0.25311
     0.47954    0.24045
     0.49357    0.22591
     0.50750    0.21233
     0.52144    0.20388
     0.53554    0.19968
     0.54977    0.19337
     0.56391    0.16997
     0.57760    0.13598
     0.59076    0.11377
     0.60364    0.13489
     0.61661    0.18950
     0.62997    0.24675
     0.64380    0.28432
     0.65774    0.30640
     0.67165    0.32100
     0.68567    0.32897
     0.69950    0.32250
     0.71294    0.29672
     0.72581    0.35127
     0.73862    0.36417
     0.75225    0.31670
     0.76550    0.30769
     0.77768    0.39637
     0.78934    0.33740
     0.80103    0.30834
     0.81346    0.40118
     0.82692    0.41268
     0.84086    0.40510
     0.85487    0.39861
     0.86887    0.41057
     0.88291    0.42865
     0.89679    0.44957
     0.91028    0.46932
     0.92352    0.47871
     0.93706    0.46456
     0.95115    0.44879
     0.96504    0.45949
     0.97859    0.46337
     0.99159    0.50023
     1.00000    0.49508
