#      x          Cp  
     0.81170    0.37682
     0.79966    0.26261
     0.78659    0.13078
     0.77415   -0.00694
     0.76192   -0.08208
     0.74988   -0.17905
     0.73847   -0.34467
     0.72757   -0.49143
     0.71661   -0.56015
     0.70526   -0.60835
     0.69377   -0.70250
     0.68271   -0.83490
     0.67213   -0.95200
     0.66164   -0.99589
     0.65076   -0.98333
     0.63917   -0.95999
     0.62701   -0.98693
     0.61484   -1.06682
     0.60299   -1.14848
     0.59133   -1.19390
     0.57947   -1.19030
     0.56708   -1.17273
     0.55404   -1.16228
     0.54058   -1.18371
     0.52707   -1.21555
     0.51368   -1.24843
     0.50040   -1.27535
     0.48712   -1.29877
     0.47378   -1.31871
     0.46029   -1.33172
     0.44665   -1.34186
     0.43288   -1.35382
     0.41908   -1.37674
     0.40538   -1.40779
     0.39182   -1.43881
     0.37835   -1.46185
     0.36487   -1.47484
     0.35131   -1.48661
     0.33768   -1.50323
     0.32410   -1.53048
     0.31066   -1.56064
     0.29737   -1.58962
     0.28418   -1.61210
     0.27105   -1.63351
     0.25800   -1.65764
     0.24508   -1.69192
     0.23240   -1.73104
     0.21999   -1.76937
     0.20783   -1.80060
     0.19589   -1.82640
     0.18416   -1.85115
     0.17266   -1.87800
     0.16143   -1.90802
     0.15054   -1.94018
     0.14006   -1.97761
     0.13006   -2.02134
     0.12055   -2.06401
     0.11155   -2.10133
     0.10302   -2.12702
     0.09496   -2.15034
     0.08738   -2.17751
     0.08031   -2.22068
     0.07375   -2.28165
     0.06771   -2.34157
     0.06214   -2.39494
     0.05699   -2.43356
     0.05222   -2.45318
     0.04780   -2.46963
     0.04368   -2.48921
     0.03986   -2.51714
     0.03629   -2.56820
     0.03298   -2.64567
     0.02989   -2.72557
     0.02702   -2.80140
     0.02435   -2.86961
     0.02188   -2.92888
     0.01957   -2.98101
     0.01744   -3.02893
     0.01547   -3.07243
     0.01366   -3.10943
     0.01199   -3.13516
     0.01047   -3.14299
     0.00908   -3.09636
     0.00780   -2.97883
     0.00658   -2.86915
     0.00540   -2.81391
     0.00422   -2.86993
     0.00302   -3.10797
     0.00181   -4.03527
     0.00073   -6.08514
     0.00006   -9.43105
     0.00003   -9.91460
     0.00077   -4.43873
     0.00202   -1.77970
     0.00347   -0.77703
     0.00497   -0.26163
     0.00653    0.08901
     0.00818    0.34249
     0.00994    0.53170
     0.01182    0.67285
     0.01385    0.77778
     0.01601    0.85482
     0.01833    0.91023
     0.02080    0.94880
     0.02342    0.97432
     0.02621    0.99001
     0.02917    0.99804
     0.03233    0.99995
     0.03570    0.99694
     0.03931    0.98992
     0.04319    0.97943
     0.04736    0.96592
     0.05185    0.94975
     0.05672    0.93126
     0.06200    0.91096
     0.06775    0.88923
     0.07403    0.86626
     0.08090    0.84214
     0.08841    0.81606
     0.09657    0.78811
     0.10537    0.75901
     0.11482    0.72990
     0.12496    0.70179
     0.13580    0.67435
     0.14733    0.64699
     0.15943    0.61932
     0.17201    0.59241
     0.18498    0.56718
     0.19835    0.54371
     0.21207    0.52127
     0.22603    0.49835
     0.24008    0.47574
     0.25420    0.45506
     0.26848    0.43860
     0.28303    0.42439
     0.29784    0.40990
     0.31273    0.39206
     0.32752    0.37374
     0.34219    0.35727
     0.35685    0.34463
     0.37161    0.33337
     0.38646    0.32147
     0.40124    0.30714
     0.41585    0.29304
     0.43030    0.28111
     0.44471    0.27301
     0.45917    0.26636
     0.47363    0.25929
     0.48794    0.25003
     0.50203    0.24144
     0.51592    0.23573
     0.52980    0.23524
     0.54374    0.23607
     0.55758    0.23300
     0.57097    0.22019
     0.58376    0.21150
     0.59614    0.21627
     0.60848    0.24479
     0.62136    0.30823
     0.63360    0.37682
