#      x          Cp  
     1.00000    0.57456
     0.99305    0.23169
     0.98252    0.17229
     0.96982    0.12475
     0.95616    0.09060
     0.94220    0.05939
     0.92819    0.02728
     0.91423   -0.00131
     0.90034   -0.03045
     0.88652   -0.05888
     0.87279   -0.08802
     0.85915   -0.11997
     0.84564   -0.15451
     0.83233   -0.19609
     0.81910   -0.26048
     0.80573   -0.34595
     0.79227   -0.45052
     0.77889   -0.56583
     0.76566   -0.67964
     0.75257   -0.78812
     0.73952   -0.87997
     0.72641   -0.95809
     0.71318   -1.02307
     0.69979   -1.07705
     0.68627   -1.12706
     0.67264   -1.17594
     0.65895   -1.22159
     0.64520   -1.26398
     0.63137   -1.30378
     0.61749   -1.34160
     0.60356   -1.37744
     0.58959   -1.41083
     0.57557   -1.44213
     0.56151   -1.47195
     0.54742   -1.50058
     0.53330   -1.52755
     0.51916   -1.55208
     0.50497   -1.57567
     0.49076   -1.60039
     0.47654   -1.62592
     0.46232   -1.65065
     0.44809   -1.67417
     0.43384   -1.69797
     0.41960   -1.72331
     0.40537   -1.74901
     0.39114   -1.77386
     0.37692   -1.79854
     0.36271   -1.82480
     0.34852   -1.85253
     0.33436   -1.88068
     0.32022   -1.90911
     0.30612   -1.93792
     0.29205   -1.96728
     0.27801   -1.99760
     0.26402   -2.02943
     0.25008   -2.06249
     0.23620   -2.09713
     0.22238   -2.13340
     0.20864   -2.17255
     0.19500   -2.21248
     0.18145   -2.25122
     0.16800   -2.29188
     0.15466   -2.33662
     0.14147   -2.38314
     0.12843   -2.43126
     0.11556   -2.48364
     0.10290   -2.53998
     0.09047   -2.60028
     0.07831   -2.66644
     0.06646   -2.74290
     0.05501   -2.83889
     0.04407   -2.96318
     0.03387   -3.14165
     0.02478   -3.35838
     0.01715   -3.57600
     0.01126   -3.80282
     0.00711   -3.90624
     0.00434   -4.10915
     0.00248   -4.41959
     0.00110   -4.76389
     0.00005   -5.89567
    -0.00059   -7.57841
    -0.00078   -9.61346
    -0.00049  -10.13540
     0.00042   -3.88483
     0.00177   -1.11093
     0.00316   -1.01868
     0.00483   -0.66522
     0.00718    0.11754
     0.01060    0.60965
     0.01539    0.84544
     0.02169    0.96819
     0.03019    0.99993
     0.04119    0.97686
     0.05398    0.93484
     0.06768    0.89052
     0.08178    0.84999
     0.09613    0.81380
     0.11060    0.78156
     0.12511    0.75284
     0.13966    0.72744
     0.15425    0.70495
     0.16888    0.68505
     0.18357    0.66743
     0.19831    0.65148
     0.21306    0.63659
     0.22781    0.62248
     0.24254    0.60886
     0.25728    0.59574
     0.27204    0.58309
     0.28681    0.57107
     0.30159    0.55967
     0.31636    0.54898
     0.33113    0.53892
     0.34590    0.52908
     0.36066    0.51941
     0.37542    0.51035
     0.39019    0.50203
     0.40496    0.49403
     0.41973    0.48611
     0.43450    0.47840
     0.44928    0.47089
     0.46405    0.46366
     0.47883    0.45685
     0.49360    0.45038
     0.50838    0.44405
     0.52316    0.43786
     0.53794    0.43186
     0.55271    0.42607
     0.56749    0.42053
     0.58227    0.41526
     0.59704    0.41017
     0.61182    0.40514
     0.62660    0.40024
     0.64138    0.39552
     0.65616    0.39097
     0.67094    0.38656
     0.68572    0.38234
     0.70049    0.37842
     0.71527    0.37478
     0.73004    0.37122
     0.74482    0.36775
     0.75960    0.36447
     0.77438    0.36144
     0.78915    0.35892
     0.80392    0.35666
     0.81868    0.35414
     0.83344    0.35212
     0.84821    0.35107
     0.86297    0.34984
     0.87772    0.34917
     0.89247    0.35048
     0.90722    0.35183
     0.92198    0.35402
     0.93673    0.35932
     0.95143    0.36711
     0.96597    0.37895
     0.98007    0.40868
     0.99216    0.45667
     1.00000    0.57456
