#      x          Cp  
     1.00000    0.51696
     0.99184   -0.19182
     0.98190   -0.20618
     0.97132   -0.09713
     0.95970   -0.15988
     0.94680   -0.15859
     0.93247   -0.17598
     0.91694   -0.19449
     0.90026   -0.20633
     0.88260   -0.21930
     0.86417   -0.23264
     0.84519   -0.24743
     0.82588   -0.26844
     0.80643   -0.28833
     0.78689   -0.30180
     0.76727   -0.32662
     0.74755   -0.35170
     0.72772   -0.36996
     0.70777   -0.39342
     0.68775   -0.41937
     0.66767   -0.44361
     0.64753   -0.46928
     0.62737   -0.49685
     0.60721   -0.52471
     0.58708   -0.55434
     0.56697   -0.58761
     0.54684   -0.62408
     0.52671   -0.66358
     0.50658   -0.70414
     0.48647   -0.74749
     0.46640   -0.79784
     0.44633   -0.85356
     0.42632   -0.91389
     0.40638   -0.98038
     0.38657   -1.05415
     0.36691   -1.13641
     0.34747   -1.22986
     0.32834   -1.33743
     0.30963   -1.45891
     0.29145   -1.59750
     0.27393   -1.75975
     0.25727   -1.95105
     0.24160   -2.17804
     0.22702   -2.45749
     0.21355   -2.78955
     0.20118   -3.21251
     0.18974   -3.58522
     0.17882   -3.72350
     0.16809   -3.72092
     0.15735   -3.59997
     0.14657   -3.52598
     0.13594   -3.56511
     0.12560   -3.58491
     0.11557   -3.57716
     0.10591   -3.57403
     0.09668   -3.55439
     0.08789   -3.49051
     0.07957   -3.43728
     0.07178   -3.42152
     0.06454   -3.38529
     0.05784   -3.32285
     0.05166   -3.30846
     0.04600   -3.34875
     0.04087   -3.36801
     0.03621   -3.34486
     0.03200   -3.29776
     0.02818   -3.22176
     0.02471   -3.13837
     0.02155   -3.06520
     0.01866   -3.01008
     0.01604   -2.97033
     0.01363   -2.97117
     0.01145   -2.99813
     0.00949   -3.01279
     0.00775   -2.98922
     0.00620   -2.93926
     0.00482   -2.88732
     0.00361   -2.87364
     0.00255   -2.88073
     0.00167   -2.85951
     0.00098   -2.78852
     0.00048   -2.67037
     0.00016   -2.52110
     0.00001   -2.34777
     0.00004   -2.23939
     0.00031   -2.11427
     0.00095   -1.62636
     0.00198   -0.88338
     0.00336   -0.28596
     0.00498    0.13136
     0.00682    0.42928
     0.00886    0.64091
     0.01109    0.78389
     0.01351    0.88025
     0.01612    0.94278
     0.01893    0.97957
     0.02194    0.99694
     0.02517    0.99938
     0.02864    0.99025
     0.03236    0.97198
     0.03636    0.94692
     0.04068    0.91884
     0.04538    0.89092
     0.05052    0.86431
     0.05616    0.83776
     0.06238    0.81213
     0.06928    0.78653
     0.07697    0.75989
     0.08555    0.73377
     0.09518    0.70939
     0.10602    0.68620
     0.11817    0.66279
     0.13167    0.64016
     0.14649    0.61886
     0.16254    0.59954
     0.17967    0.58229
     0.19769    0.56665
     0.21640    0.55291
     0.23565    0.54087
     0.25527    0.52966
     0.27511    0.51978
     0.29507    0.51147
     0.31508    0.50344
     0.33514    0.49580
     0.35518    0.48954
     0.37517    0.48388
     0.39513    0.47803
     0.41506    0.47322
     0.43489    0.46976
     0.45462    0.46537
     0.47438    0.45980
     0.49417    0.45547
     0.51391    0.45233
     0.53356    0.44909
     0.55316    0.44556
     0.57275    0.44125
     0.59237    0.43689
     0.61196    0.43409
     0.63145    0.43168
     0.65087    0.42808
     0.67027    0.42418
     0.68966    0.42058
     0.70898    0.41802
     0.72810    0.41660
     0.74714    0.40997
     0.76637    0.39907
     0.78570    0.39548
     0.80481    0.39427
     0.82374    0.38955
     0.84256    0.38415
     0.86119    0.37866
     0.87954    0.37334
     0.89754    0.36539
     0.91511    0.35527
     0.93208    0.34721
     0.94811    0.33981
     0.96313    0.31860
     0.97695    0.30504
     0.98945    0.28650
     0.99923    0.51696
