#      x          Cp  
     1.00000    0.48074
     0.99228    0.46831
     0.98214    0.39818
     0.97039    0.32212
     0.95708    0.24016
     0.94291    0.16991
     0.92849    0.11957
     0.91386    0.09067
     0.89895    0.07413
     0.88389    0.06302
     0.86884    0.04704
     0.85388    0.02529
     0.83884   -0.00640
     0.82360   -0.04314
     0.80828   -0.08017
     0.79305   -0.11597
     0.77793   -0.14735
     0.76283   -0.17539
     0.74772   -0.20058
     0.73257   -0.22321
     0.71740   -0.24407
     0.70217   -0.26339
     0.68690   -0.28209
     0.67157   -0.30106
     0.65621   -0.32055
     0.64083   -0.34110
     0.62543   -0.36318
     0.61005   -0.38635
     0.59468   -0.41097
     0.57933   -0.43657
     0.56401   -0.46272
     0.54872   -0.48918
     0.53345   -0.51588
     0.51819   -0.54241
     0.50294   -0.56909
     0.48769   -0.59610
     0.47243   -0.62367
     0.45717   -0.65246
     0.44192   -0.68366
     0.42669   -0.71685
     0.41152   -0.75194
     0.39639   -0.78891
     0.38133   -0.82667
     0.36632   -0.86429
     0.35137   -0.90166
     0.33646   -0.93825
     0.32157   -0.97377
     0.30672   -1.00873
     0.29188   -1.04304
     0.27706   -1.07716
     0.26225   -1.11120
     0.24746   -1.14574
     0.23268   -1.18177
     0.21791   -1.22019
     0.20317   -1.26239
     0.18848   -1.31033
     0.17386   -1.36447
     0.15935   -1.42733
     0.14499   -1.49803
     0.13083   -1.57821
     0.11690   -1.66535
     0.10324   -1.75916
     0.08987   -1.85747
     0.07684   -1.96265
     0.06429   -2.08190
     0.05249   -2.23211
     0.04186   -2.43361
     0.03288   -2.70939
     0.02563   -3.04244
     0.01985   -3.45625
     0.01525   -3.90144
     0.01158   -4.43818
     0.00863   -5.03277
     0.00623   -5.56041
     0.00424   -6.17195
     0.00265   -6.77925
     0.00146   -7.10807
     0.00065   -6.98399
     0.00017   -6.53038
     0.00000   -5.80522
     0.00012   -4.60301
     0.00053   -3.33137
     0.00126   -2.16921
     0.00235   -1.15749
     0.00384   -0.37075
     0.00571    0.17299
     0.00799    0.52340
     0.01078    0.75642
     0.01425    0.89915
     0.01860    0.97411
     0.02406    0.99964
     0.03086    0.98819
     0.03928    0.94990
     0.04930    0.89355
     0.06058    0.82834
     0.07276    0.76132
     0.08555    0.69698
     0.09877    0.63745
     0.11231    0.58327
     0.12612    0.53436
     0.14015    0.49021
     0.15437    0.45011
     0.16873    0.41349
     0.18321    0.37979
     0.19779    0.34862
     0.21242    0.31966
     0.22709    0.29269
     0.24179    0.26811
     0.25651    0.24600
     0.27126    0.22635
     0.28606    0.20940
     0.30090    0.19475
     0.31580    0.18229
     0.33077    0.17173
     0.34580    0.16266
     0.36090    0.15476
     0.37607    0.14766
     0.39130    0.14074
     0.40657    0.13394
     0.42188    0.12690
     0.43720    0.11937
     0.45252    0.11174
     0.46783    0.10386
     0.48312    0.09604
     0.49838    0.08855
     0.51363    0.08154
     0.52885    0.07516
     0.54406    0.06971
     0.55926    0.06513
     0.57445    0.06152
     0.58965    0.05895
     0.60486    0.05722
     0.62008    0.05639
     0.63533    0.05628
     0.65059    0.05675
     0.66588    0.05770
     0.68120    0.05896
     0.69654    0.06042
     0.71192    0.06192
     0.72732    0.06323
     0.74275    0.06417
     0.75819    0.06447
     0.77365    0.06371
     0.78908    0.06236
     0.80446    0.06018
     0.81976    0.05860
     0.83504    0.06015
     0.85035    0.06398
     0.86566    0.07023
     0.88089    0.07619
     0.89594    0.07902
     0.91078    0.07361
     0.92544    0.05404
     0.93981    0.00999
     0.95339   -0.05681
     0.96549   -0.13011
     0.97599   -0.17667
     0.98519   -0.14633
     0.99340   -0.01672
     0.99998    0.48074
