#      x          Cp  
     1.00000    0.65392
     0.99161    0.23970
     0.98048    0.10942
     0.96810    0.05076
     0.95474    0.04159
     0.94059    0.04872
     0.92596    0.05690
     0.91129    0.05952
     0.89675    0.05491
     0.88227    0.04383
     0.86781    0.02634
     0.85332    0.00397
     0.83881   -0.02308
     0.82425   -0.05340
     0.80961   -0.08591
     0.79491   -0.11992
     0.78018   -0.15385
     0.76546   -0.18734
     0.75077   -0.21985
     0.73610   -0.25088
     0.72144   -0.28091
     0.70678   -0.30943
     0.69211   -0.33712
     0.67743   -0.36444
     0.66273   -0.39165
     0.64803   -0.41902
     0.63333   -0.44694
     0.61862   -0.47537
     0.60391   -0.50432
     0.58920   -0.53388
     0.57449   -0.56389
     0.55977   -0.59414
     0.54506   -0.62474
     0.53034   -0.65587
     0.51562   -0.68760
     0.50088   -0.72024
     0.48615   -0.75425
     0.47141   -0.78991
     0.45666   -0.82744
     0.44192   -0.86756
     0.42719   -0.91017
     0.41247   -0.95554
     0.39776   -1.00406
     0.38307   -1.05516
     0.36841   -1.10893
     0.35377   -1.16515
     0.33915   -1.22357
     0.32456   -1.28411
     0.30999   -1.34729
     0.29544   -1.41408
     0.28092   -1.48467
     0.26645   -1.56010
     0.25202   -1.64142
     0.23765   -1.72867
     0.22337   -1.82502
     0.20921   -1.92626
     0.19520   -2.03167
     0.18135   -2.13604
     0.16767   -2.22750
     0.15411   -2.30470
     0.14067   -2.37337
     0.12736   -2.43572
     0.11420   -2.50089
     0.10124   -2.57363
     0.08862   -2.67833
     0.07652   -2.79412
     0.06506   -2.86157
     0.05422   -2.84703
     0.04378   -2.69247
     0.03377   -2.52918
     0.02478   -2.48360
     0.01730   -2.71194
     0.01200   -3.08871
     0.00849   -3.53734
     0.00602   -3.79360
     0.00420   -3.61205
     0.00276   -3.43010
     0.00158   -3.56684
     0.00059   -5.31541
    -0.00003   -8.63740
    -0.00005   -6.39097
     0.00039   -3.59655
     0.00120   -1.94864
     0.00229   -1.13963
     0.00372   -0.52794
     0.00563   -0.03272
     0.00821    0.36126
     0.01182    0.66075
     0.01709    0.86547
     0.02457    0.97261
     0.03376    0.99997
     0.04378    0.97559
     0.05419    0.91739
     0.06506    0.84294
     0.07653    0.76421
     0.08862    0.68849
     0.10124    0.61584
     0.11420    0.54482
     0.12736    0.47805
     0.14067    0.41615
     0.15411    0.36067
     0.16767    0.31238
     0.18135    0.27281
     0.19520    0.24208
     0.20921    0.21736
     0.22337    0.19693
     0.23765    0.18013
     0.25202    0.16511
     0.26645    0.15225
     0.28092    0.14107
     0.29544    0.13148
     0.30999    0.12346
     0.32456    0.11679
     0.33915    0.11156
     0.35377    0.10774
     0.36841    0.10511
     0.38307    0.10337
     0.39776    0.10224
     0.41247    0.10158
     0.42719    0.10097
     0.44192    0.10043
     0.45666    0.09993
     0.47141    0.09930
     0.48615    0.09877
     0.50088    0.09835
     0.51562    0.09811
     0.53034    0.09822
     0.54506    0.09879
     0.55977    0.09982
     0.57449    0.10135
     0.58920    0.10343
     0.60391    0.10589
     0.61862    0.10860
     0.63333    0.11159
     0.64803    0.11482
     0.66273    0.11823
     0.67743    0.12204
     0.69211    0.12642
     0.70678    0.13151
     0.72144    0.13763
     0.73610    0.14524
     0.75077    0.15403
     0.76546    0.16434
     0.78018    0.17585
     0.79491    0.18820
     0.80961    0.20116
     0.82425    0.21357
     0.83881    0.22483
     0.85332    0.23398
     0.86781    0.23974
     0.88227    0.24169
     0.89675    0.23827
     0.91129    0.22896
     0.92596    0.21247
     0.94059    0.18959
     0.95474    0.16558
     0.96810    0.15378
     0.98048    0.18396
     0.99161    0.28491
     1.00000    0.65392
