#      x          Cp  
     1.00000    0.70625
     0.99182    0.33543
     0.98144    0.23379
     0.96990    0.13623
     0.95710    0.05448
     0.94308   -0.01770
     0.92812   -0.07997
     0.91261   -0.13431
     0.89684   -0.18288
     0.88090   -0.22855
     0.86476   -0.27135
     0.84843   -0.31205
     0.83194   -0.35141
     0.81532   -0.39034
     0.79865   -0.43068
     0.78203   -0.47521
     0.76553   -0.52089
     0.74917   -0.56611
     0.73295   -0.60977
     0.71681   -0.65058
     0.70069   -0.68614
     0.68447   -0.71100
     0.66804   -0.73015
     0.65134   -0.74698
     0.63433   -0.76381
     0.61705   -0.78324
     0.59959   -0.81015
     0.58212   -0.85309
     0.56480   -0.90420
     0.54771   -0.95922
     0.53089   -1.01566
     0.51431   -1.07118
     0.49790   -1.12164
     0.48157   -1.16150
     0.46521   -1.19736
     0.44877   -1.23197
     0.43219   -1.26729
     0.41545   -1.30553
     0.39855   -1.35064
     0.38151   -1.40859
     0.36439   -1.47478
     0.34727   -1.54741
     0.33028   -1.62598
     0.31355   -1.70997
     0.29721   -1.80205
     0.28139   -1.90518
     0.26615   -2.01072
     0.25142   -2.11470
     0.23711   -2.21428
     0.22308   -2.30618
     0.20915   -2.38656
     0.19509   -2.43543
     0.18066   -2.44513
     0.16575   -2.45496
     0.15072   -2.50305
     0.13633   -2.66424
     0.12312   -2.85476
     0.11100   -3.02428
     0.09966   -3.13150
     0.08873   -3.11210
     0.07805   -3.06793
     0.06791   -3.12992
     0.05871   -3.22764
     0.05056   -3.25520
     0.04336   -3.15380
     0.03699   -3.01417
     0.03133   -2.87462
     0.02631   -2.74183
     0.02183   -2.59184
     0.01781   -2.47067
     0.01427   -2.44003
     0.01119   -2.59504
     0.00859   -2.89714
     0.00644   -3.20950
     0.00469   -3.51672
     0.00326   -3.80083
     0.00212   -4.04038
     0.00123   -4.20596
     0.00058   -4.26053
     0.00016   -4.16409
    -0.00003   -3.88523
     0.00000   -3.40165
     0.00027   -2.73205
     0.00076   -2.05963
     0.00146   -1.44921
     0.00237   -0.91800
     0.00349   -0.46675
     0.00483   -0.08923
     0.00641    0.22261
     0.00823    0.47632
     0.01032    0.67746
     0.01270    0.83093
     0.01540    0.93478
     0.01847    0.98478
     0.02197    0.99948
     0.02596    0.99748
     0.03049    0.98752
     0.03564    0.97072
     0.04148    0.94651
     0.04809    0.91441
     0.05558    0.88015
     0.06429    0.84821
     0.07456    0.81671
     0.08638    0.77304
     0.09909    0.72255
     0.11235    0.68272
     0.12635    0.65255
     0.14126    0.62936
     0.15708    0.60985
     0.17356    0.59208
     0.19035    0.57773
     0.20727    0.56644
     0.22427    0.55771
     0.24134    0.55113
     0.25847    0.54626
     0.27562    0.54265
     0.29274    0.53984
     0.30976    0.53724
     0.32662    0.53453
     0.34328    0.53152
     0.35974    0.52786
     0.37605    0.52313
     0.39227    0.51674
     0.40850    0.50672
     0.42484    0.49287
     0.44139    0.47673
     0.45821    0.45872
     0.47532    0.43932
     0.49270    0.41915
     0.51025    0.39987
     0.52786    0.38188
     0.54541    0.36471
     0.56284    0.34848
     0.58011    0.33339
     0.59724    0.31980
     0.61428    0.30866
     0.63128    0.29935
     0.64828    0.29129
     0.66534    0.28428
     0.68247    0.27813
     0.69971    0.27272
     0.71706    0.26792
     0.73453    0.26360
     0.75209    0.25964
     0.76971    0.25584
     0.78732    0.25196
     0.80484    0.24702
     0.82218    0.24048
     0.83928    0.23431
     0.85613    0.22942
     0.87275    0.22667
     0.88921    0.22695
     0.90559    0.23214
     0.92195    0.24363
     0.93808    0.26092
     0.95344    0.28457
     0.96750    0.31536
     0.98009    0.35984
     0.99127    0.40969
     1.00000    0.70625
