#      x          Cp  
     1.00000    0.48824
     0.94919    0.06183
     0.89848   -0.12409
     0.79719   -0.39727
     0.69603   -0.70258
     0.59505   -1.02220
     0.49430   -1.33159
     0.39377   -1.93648
     0.29370   -2.33735
     0.19416   -2.99239
     0.14471   -3.03725
     0.09550   -3.50613
     0.07107   -3.44929
     0.04684   -3.00203
     0.02280   -2.76747
     0.01093   -3.10179
     0.00000   -1.26864
     0.01359    0.90940
     0.02634    0.97543
     0.05152    0.82790
     0.07656    0.75212
     0.10157    0.69261
     0.15153    0.59444
     0.20141    0.56191
     0.30117    0.49228
     0.40092    0.44976
     0.50067    0.44224
     0.60050    0.39575
     0.70033    0.37983
     0.80018    0.37803
     0.90013    0.34247
     0.95009    0.36639
     1.00000    0.48824
