#      x          Cp  
     1.00000    0.38739
     0.99104    0.17517
     0.97979    0.08894
     0.96741    0.02035
     0.95374   -0.03477
     0.93869   -0.07592
     0.92230   -0.10644
     0.90478   -0.13306
     0.88649   -0.16820
     0.86784   -0.20996
     0.84917   -0.25267
     0.83069   -0.29444
     0.81246   -0.33358
     0.79439   -0.36620
     0.77633   -0.39020
     0.75811   -0.41097
     0.73964   -0.43064
     0.72089   -0.45138
     0.70190   -0.47622
     0.68277   -0.51183
     0.66367   -0.55416
     0.64470   -0.60000
     0.62591   -0.64784
     0.60730   -0.69623
     0.58885   -0.74225
     0.57051   -0.78598
     0.55221   -0.82912
     0.53394   -0.87198
     0.51565   -0.91479
     0.49733   -0.95730
     0.47896   -0.99907
     0.46054   -1.04147
     0.44207   -1.08538
     0.42356   -1.13170
     0.40502   -1.18160
     0.38649   -1.23776
     0.36798   -1.30002
     0.34955   -1.36811
     0.33123   -1.44257
     0.31309   -1.52487
     0.29519   -1.61982
     0.27760   -1.73124
     0.26038   -1.85229
     0.24362   -1.98061
     0.22739   -2.11484
     0.21172   -2.25506
     0.19666   -2.40660
     0.18224   -2.57518
     0.16849   -2.74410
     0.15545   -2.90643
     0.14313   -3.06001
     0.13153   -3.19979
     0.12059   -3.31561
     0.11023   -3.39887
     0.10033   -3.42781
     0.09078   -3.35357
     0.08156   -3.26277
     0.07282   -3.25706
     0.06479   -3.37928
     0.05756   -3.50337
     0.05108   -3.58787
     0.04525   -3.58288
     0.03996   -3.53570
     0.03515   -3.47922
     0.03079   -3.42382
     0.02684   -3.37710
     0.02326   -3.35831
     0.02000   -3.35467
     0.01705   -3.34135
     0.01436   -3.32148
     0.01193   -3.31962
     0.00973   -3.35759
     0.00778   -3.40119
     0.00607   -3.44068
     0.00460   -3.46882
     0.00334   -3.47895
     0.00228   -3.46395
     0.00142   -3.41595
     0.00074   -3.32655
     0.00024   -3.18724
    -0.00008   -2.99046
    -0.00021   -2.73074
    -0.00017   -2.40737
     0.00007   -2.01456
     0.00051   -1.57324
     0.00114   -1.14657
     0.00197   -0.75323
     0.00298   -0.40079
     0.00419   -0.09116
     0.00560    0.17642
     0.00723    0.40371
     0.00908    0.59266
     0.01118    0.74457
     0.01353    0.86173
     0.01616    0.94065
     0.01908    0.98295
     0.02231    0.99876
     0.02585    0.99812
     0.02971    0.98753
     0.03392    0.96992
     0.03852    0.94721
     0.04358    0.92094
     0.04915    0.89253
     0.05534    0.86372
     0.06233    0.83546
     0.07031    0.80805
     0.07951    0.77821
     0.09001    0.74302
     0.10176    0.70580
     0.11462    0.66993
     0.12843    0.63635
     0.14303    0.60644
     0.15838    0.58355
     0.17464    0.56788
     0.19199    0.55604
     0.21039    0.54187
     0.22950    0.52404
     0.24886    0.50610
     0.26815    0.48897
     0.28719    0.47342
     0.30600    0.46078
     0.32475    0.45172
     0.34357    0.44453
     0.36256    0.43856
     0.38179    0.43324
     0.40123    0.42768
     0.42082    0.42058
     0.44047    0.41308
     0.46011    0.40571
     0.47969    0.39881
     0.49921    0.39275
     0.51869    0.38818
     0.53816    0.38472
     0.55764    0.38221
     0.57716    0.38066
     0.59670    0.38015
     0.61627    0.38107
     0.63586    0.38310
     0.65541    0.38595
     0.67490    0.38955
     0.69424    0.39389
     0.71337    0.39958
     0.73222    0.40589
     0.75074    0.41187
     0.76892    0.41707
     0.78675    0.42108
     0.80427    0.42332
     0.82149    0.42333
     0.83845    0.42138
     0.85518    0.41724
     0.87171    0.41040
     0.88808    0.40003
     0.90434    0.38229
     0.92049    0.35446
     0.93637    0.32462
     0.95164    0.29989
     0.96588    0.28799
     0.97889    0.28569
     0.99068    0.29991
     1.00000    0.38739
