#      x          Cp  
     1.00000    0.39748
     0.99215    0.23723
     0.98201    0.17508
     0.97044    0.12622
     0.95723    0.08387
     0.94248    0.04412
     0.92685    0.00687
     0.91117   -0.02705
     0.89551   -0.05817
     0.88005   -0.08654
     0.86470   -0.11327
     0.84934   -0.13897
     0.83392   -0.16401
     0.81839   -0.18873
     0.80276   -0.21333
     0.78704   -0.23812
     0.77127   -0.26304
     0.75549   -0.28804
     0.73973   -0.31310
     0.72399   -0.33828
     0.70829   -0.36357
     0.69262   -0.38904
     0.67696   -0.41474
     0.66130   -0.44077
     0.64565   -0.46727
     0.62999   -0.49429
     0.61432   -0.52194
     0.59865   -0.55040
     0.58299   -0.57989
     0.56735   -0.61027
     0.55173   -0.64147
     0.53612   -0.67352
     0.52052   -0.70642
     0.50493   -0.74016
     0.48932   -0.77431
     0.47369   -0.80939
     0.45803   -0.84620
     0.44234   -0.88536
     0.42663   -0.92767
     0.41091   -0.97414
     0.39523   -1.02781
     0.37961   -1.09075
     0.36407   -1.15935
     0.34866   -1.23258
     0.33336   -1.30968
     0.31821   -1.39021
     0.30319   -1.47399
     0.28830   -1.56186
     0.27355   -1.65271
     0.25894   -1.74514
     0.24447   -1.83820
     0.23015   -1.93081
     0.21599   -2.02189
     0.20198   -2.10995
     0.18815   -2.19202
     0.17448   -2.27033
     0.16096   -2.34721
     0.14754   -2.42713
     0.13418   -2.51552
     0.12093   -2.60804
     0.10802   -2.70370
     0.09579   -2.82913
     0.08450   -2.98328
     0.07404   -3.07282
     0.06404   -3.02589
     0.05431   -2.92060
     0.04513   -2.80708
     0.03693   -2.72394
     0.02981   -2.68190
     0.02362   -2.69286
     0.01821   -2.75478
     0.01377   -2.87308
     0.01030   -3.18863
     0.00762   -3.60027
     0.00553   -4.01399
     0.00387   -4.42737
     0.00257   -4.82296
     0.00156   -5.17043
     0.00081   -5.41875
     0.00030   -5.49480
     0.00002   -5.31251
    -0.00003   -4.79981
     0.00017   -3.89712
     0.00059   -2.89371
     0.00125   -1.98582
     0.00214   -1.22012
     0.00327   -0.60078
     0.00467   -0.11230
     0.00636    0.26550
     0.00839    0.55137
     0.01082    0.75975
     0.01372    0.90206
     0.01718    0.97935
     0.02139    1.00000
     0.02657    0.98852
     0.03311    0.96102
     0.04148    0.92424
     0.05191    0.88444
     0.06416    0.84351
     0.07768    0.80216
     0.09195    0.75629
     0.10671    0.71306
     0.12188    0.67736
     0.13738    0.64603
     0.15305    0.61710
     0.16872    0.58818
     0.18425    0.56109
     0.19963    0.53694
     0.21491    0.51757
     0.23018    0.50149
     0.24553    0.48776
     0.26100    0.47582
     0.27663    0.46513
     0.29242    0.45515
     0.30836    0.44464
     0.32434    0.43340
     0.34029    0.42216
     0.35622    0.41100
     0.37217    0.39994
     0.38816    0.38897
     0.40414    0.37807
     0.42007    0.36723
     0.43595    0.35661
     0.45179    0.34631
     0.46759    0.33644
     0.48337    0.32711
     0.49915    0.31857
     0.51493    0.31132
     0.53074    0.30493
     0.54659    0.29909
     0.56247    0.29364
     0.57838    0.28842
     0.59432    0.28325
     0.61026    0.27762
     0.62619    0.27166
     0.64208    0.26574
     0.65793    0.26001
     0.67375    0.25460
     0.68955    0.24965
     0.70537    0.24554
     0.72122    0.24249
     0.73712    0.23994
     0.75309    0.23771
     0.76906    0.23564
     0.78501    0.23353
     0.80098    0.23097
     0.81689    0.22731
     0.83265    0.22349
     0.84826    0.22001
     0.86374    0.21726
     0.87918    0.21571
     0.89465    0.21599
     0.91031    0.22028
     0.92619    0.22795
     0.94192    0.23724
     0.95675    0.24673
     0.97007    0.25719
     0.98178    0.27191
     0.99205    0.29928
     1.00000    0.39748
