#      x          Cp  
     1.00000    0.54970
     0.99229    0.28961
     0.98252    0.17513
     0.97165    0.08178
     0.95954    0.00408
     0.94613   -0.05972
     0.93156   -0.10649
     0.91617   -0.14222
     0.90036   -0.17357
     0.88439   -0.21207
     0.86838   -0.25305
     0.85241   -0.29397
     0.83651   -0.33395
     0.82070   -0.37216
     0.80495   -0.40766
     0.78917   -0.43724
     0.77332   -0.46221
     0.75733   -0.48515
     0.74117   -0.50726
     0.72485   -0.52982
     0.70839   -0.55429
     0.69187   -0.58486
     0.67536   -0.62207
     0.65894   -0.66214
     0.64264   -0.70388
     0.62647   -0.74624
     0.61040   -0.78823
     0.59440   -0.82733
     0.57841   -0.86240
     0.56238   -0.89634
     0.54628   -0.93020
     0.53010   -0.96495
     0.51386   -1.00163
     0.49759   -1.04257
     0.48135   -1.09065
     0.46517   -1.14217
     0.44911   -1.19553
     0.43316   -1.24954
     0.41734   -1.30304
     0.40162   -1.35427
     0.38599   -1.39939
     0.37040   -1.44111
     0.35483   -1.48177
     0.33925   -1.52250
     0.32363   -1.56483
     0.30794   -1.61016
     0.29216   -1.66389
     0.27627   -1.72687
     0.26028   -1.79477
     0.24430   -1.86625
     0.22846   -1.94003
     0.21294   -2.01499
     0.19794   -2.09294
     0.18361   -2.17672
     0.16990   -2.25299
     0.15650   -2.31440
     0.14293   -2.32012
     0.12853   -2.28190
     0.11330   -2.27937
     0.09885   -2.44885
     0.08678   -2.93471
     0.07665   -3.34492
     0.06731   -3.31400
     0.05779   -3.05013
     0.04794   -2.85408
     0.03879   -2.89746
     0.03117   -3.02128
     0.02493   -3.21340
     0.01975   -3.49933
     0.01544   -3.71626
     0.01192   -3.90400
     0.00906   -4.16955
     0.00676   -4.46037
     0.00491   -4.76662
     0.00341   -5.08109
     0.00222   -5.39150
     0.00128   -5.67569
     0.00059   -5.89644
     0.00011   -5.99699
    -0.00014   -5.89991
    -0.00016   -5.52454
     0.00005   -4.77112
     0.00052   -3.68332
     0.00125   -2.61641
     0.00223   -1.69321
     0.00350   -0.94487
     0.00507   -0.36102
     0.00700    0.08297
     0.00936    0.41293
     0.01221    0.64979
     0.01557    0.81068
     0.01947    0.91585
     0.02394    0.97458
     0.02905    0.99779
     0.03496    0.99776
     0.04183    0.98435
     0.04969    0.96364
     0.05824    0.93133
     0.06705    0.88375
     0.07610    0.82879
     0.08596    0.79297
     0.09742    0.77100
     0.11084    0.73358
     0.12517    0.67954
     0.13916    0.62229
     0.15259    0.57302
     0.16599    0.54282
     0.17996    0.52219
     0.19496    0.50718
     0.21112    0.48926
     0.22786    0.46870
     0.24437    0.44955
     0.26098    0.43170
     0.27775    0.41544
     0.29417    0.40149
     0.31029    0.39050
     0.32628    0.38193
     0.34230    0.37486
     0.35846    0.36884
     0.37483    0.36343
     0.39143    0.35818
     0.40824    0.35196
     0.42501    0.34457
     0.44169    0.33677
     0.45836    0.32858
     0.47508    0.31988
     0.49191    0.31047
     0.50864    0.29911
     0.52516    0.28624
     0.54143    0.27385
     0.55746    0.26290
     0.57326    0.25447
     0.58888    0.24972
     0.60435    0.25206
     0.61974    0.26339
     0.63510    0.27841
     0.65050    0.29522
     0.66596    0.31233
     0.68153    0.32845
     0.69721    0.34195
     0.71303    0.34930
     0.72896    0.35245
     0.74501    0.35319
     0.76114    0.35199
     0.77733    0.34915
     0.79354    0.34483
     0.80973    0.33848
     0.82587    0.33068
     0.84194    0.32260
     0.85796    0.31497
     0.87398    0.30863
     0.89008    0.30457
     0.90635    0.30590
     0.92286    0.31381
     0.93927    0.32504
     0.95482    0.33795
     0.96880    0.35291
     0.98104    0.37444
     0.99175    0.41233
     1.00000    0.54970
