#      x          Cp  
     1.00000    0.49867
     0.99286    0.24231
     0.98333    0.10679
     0.97243   -0.00097
     0.96046   -0.09023
     0.94768   -0.16324
     0.93429   -0.22613
     0.92049   -0.28016
     0.90634   -0.32746
     0.89193   -0.37034
     0.87731   -0.40936
     0.86252   -0.44541
     0.84758   -0.47889
     0.83252   -0.51038
     0.81734   -0.54040
     0.80205   -0.56947
     0.78669   -0.59804
     0.77126   -0.62669
     0.75577   -0.65492
     0.74025   -0.68267
     0.72467   -0.71011
     0.70906   -0.73758
     0.69341   -0.76516
     0.67772   -0.79307
     0.66202   -0.82146
     0.64631   -0.85008
     0.63058   -0.87892
     0.61483   -0.90802
     0.59908   -0.93754
     0.58331   -0.96754
     0.56753   -0.99813
     0.55175   -1.02946
     0.53596   -1.06158
     0.52018   -1.09450
     0.50440   -1.12849
     0.48863   -1.16337
     0.47286   -1.19934
     0.45710   -1.23654
     0.44135   -1.27526
     0.42562   -1.31568
     0.40991   -1.35797
     0.39423   -1.40255
     0.37858   -1.44930
     0.36297   -1.49869
     0.34741   -1.55086
     0.33190   -1.60618
     0.31646   -1.66497
     0.30109   -1.72758
     0.28581   -1.79480
     0.27064   -1.86624
     0.25560   -1.94327
     0.24070   -2.02504
     0.22597   -2.11269
     0.21143   -2.20551
     0.19711   -2.30483
     0.18304   -2.41020
     0.16925   -2.52139
     0.15580   -2.63801
     0.14271   -2.75776
     0.13002   -2.88011
     0.11778   -3.00096
     0.10602   -3.11960
     0.09477   -3.22660
     0.08407   -3.31722
     0.07391   -3.38278
     0.06431   -3.41288
     0.05529   -3.41829
     0.04691   -3.40653
     0.03929   -3.38509
     0.03252   -3.36746
     0.02664   -3.35584
     0.02160   -3.36830
     0.01735   -3.40110
     0.01382   -3.44614
     0.01089   -3.53226
     0.00847   -3.62509
     0.00645   -3.71212
     0.00476   -3.83698
     0.00335   -3.99574
     0.00221   -4.12363
     0.00132   -4.21027
     0.00067   -4.32696
     0.00024   -4.44144
     0.00003   -4.42196
     0.00003   -4.21662
     0.00028   -3.84696
     0.00083   -3.25757
     0.00175   -2.22746
     0.00304   -1.19873
     0.00466   -0.41737
     0.00658    0.13126
     0.00878    0.50720
     0.01131    0.74735
     0.01419    0.88492
     0.01749    0.95728
     0.02127    0.99137
     0.02567    0.99998
     0.03087    0.99201
     0.03714    0.97318
     0.04486    0.94700
     0.05440    0.91633
     0.06599    0.88352
     0.07950    0.85058
     0.09433    0.81861
     0.10986    0.78876
     0.12579    0.76120
     0.14193    0.73590
     0.15819    0.71257
     0.17453    0.69098
     0.19093    0.67095
     0.20736    0.65227
     0.22383    0.63480
     0.24033    0.61839
     0.25685    0.60298
     0.27338    0.58845
     0.28993    0.57468
     0.30649    0.56164
     0.32307    0.54932
     0.33964    0.53761
     0.35622    0.52646
     0.37281    0.51582
     0.38939    0.50567
     0.40597    0.49598
     0.42256    0.48670
     0.43914    0.47781
     0.45572    0.46929
     0.47230    0.46115
     0.48888    0.45332
     0.50546    0.44575
     0.52204    0.43844
     0.53863    0.43143
     0.55521    0.42470
     0.57179    0.41821
     0.58838    0.41191
     0.60497    0.40582
     0.62156    0.39995
     0.63815    0.39427
     0.65474    0.38880
     0.67132    0.38353
     0.68791    0.37846
     0.70450    0.37359
     0.72108    0.36892
     0.73767    0.36446
     0.75425    0.36021
     0.77083    0.35620
     0.78741    0.35246
     0.80400    0.34903
     0.82057    0.34592
     0.83715    0.34312
     0.85373    0.34077
     0.87030    0.33908
     0.88685    0.33807
     0.90338    0.33791
     0.91984    0.33917
     0.93613    0.34237
     0.95202    0.34844
     0.96707    0.35929
     0.98059    0.37835
     0.99196    0.41446
     1.00000    0.49867
