#      x          Cp  
     1.00000    0.37983
     0.99217    0.18522
     0.98210    0.13302
     0.97070    0.08758
     0.95780    0.05014
     0.94344    0.01745
     0.92810   -0.01065
     0.91242   -0.03506
     0.89682   -0.05687
     0.88136   -0.07736
     0.86594   -0.09675
     0.85051   -0.11542
     0.83502   -0.13368
     0.81943   -0.15188
     0.80376   -0.17035
     0.78803   -0.18983
     0.77232   -0.21001
     0.75661   -0.23060
     0.74088   -0.25158
     0.72517   -0.27282
     0.70950   -0.29426
     0.69389   -0.31582
     0.67831   -0.33746
     0.66276   -0.35920
     0.64724   -0.38105
     0.63173   -0.40297
     0.61622   -0.42490
     0.60071   -0.44665
     0.58517   -0.46780
     0.56961   -0.48889
     0.55402   -0.51027
     0.53840   -0.53222
     0.52277   -0.55504
     0.50714   -0.57908
     0.49155   -0.60556
     0.47601   -0.63424
     0.46054   -0.66411
     0.44515   -0.69479
     0.42981   -0.72591
     0.41450   -0.75709
     0.39918   -0.78710
     0.38379   -0.81416
     0.36832   -0.84181
     0.35279   -0.87278
     0.33728   -0.91220
     0.32188   -0.95655
     0.30660   -1.00290
     0.29135   -1.04710
     0.27605   -1.09091
     0.26069   -1.13879
     0.24538   -1.19742
     0.23031   -1.26879
     0.21551   -1.34348
     0.20086   -1.41501
     0.18608   -1.47119
     0.17096   -1.53162
     0.15562   -1.61441
     0.14063   -1.76682
     0.12652   -1.96423
     0.11331   -2.16534
     0.10071   -2.34629
     0.08832   -2.46326
     0.07611   -2.59011
     0.06467   -2.81127
     0.05439   -3.06322
     0.04511   -3.33544
     0.03674   -3.61648
     0.02959   -3.88081
     0.02376   -4.17957
     0.01907   -4.53317
     0.01525   -4.82757
     0.01207   -5.01657
     0.00936   -5.06350
     0.00705   -5.04555
     0.00512   -5.08196
     0.00352   -5.34444
     0.00227   -5.63968
     0.00132   -5.87958
     0.00063   -5.99312
     0.00020   -5.89249
     0.00001   -5.48445
     0.00007   -4.61793
     0.00038   -3.57314
     0.00094   -2.59382
     0.00175   -1.73039
     0.00286   -0.99511
     0.00429   -0.38124
     0.00609    0.14422
     0.00831    0.54071
     0.01098    0.78699
     0.01410    0.91558
     0.01776    0.97792
     0.02210    0.99951
     0.02733    0.99164
     0.03370    0.96278
     0.04148    0.92127
     0.05081    0.87550
     0.06179    0.82836
     0.07449    0.78260
     0.08845    0.73597
     0.10292    0.69299
     0.11765    0.65712
     0.13268    0.62627
     0.14804    0.59906
     0.16364    0.57337
     0.17938    0.54920
     0.19514    0.52640
     0.21086    0.50391
     0.22650    0.48196
     0.24207    0.46113
     0.25760    0.44229
     0.27314    0.42539
     0.28873    0.40949
     0.30437    0.39387
     0.32001    0.37805
     0.33563    0.36255
     0.35120    0.34739
     0.36670    0.33252
     0.38213    0.31843
     0.39751    0.30561
     0.41286    0.29511
     0.42823    0.28625
     0.44363    0.27847
     0.45909    0.27151
     0.47461    0.26513
     0.49018    0.25910
     0.50580    0.25288
     0.52145    0.24628
     0.53710    0.23976
     0.55274    0.23347
     0.56835    0.22751
     0.58394    0.22196
     0.59951    0.21699
     0.61506    0.21285
     0.63061    0.20931
     0.64616    0.20623
     0.66173    0.20354
     0.67732    0.20119
     0.69294    0.19914
     0.70860    0.19738
     0.72431    0.19586
     0.74007    0.19449
     0.75585    0.19321
     0.77160    0.19194
     0.78736    0.19060
     0.80314    0.18890
     0.81885    0.18663
     0.83448    0.18424
     0.85002    0.18191
     0.86550    0.17977
     0.88096    0.17796
     0.89647    0.17658
     0.91212    0.17555
     0.92785    0.17572
     0.94324    0.17824
     0.95764    0.18451
     0.97059    0.19535
     0.98203    0.21266
     0.99214    0.23791
     1.00000    0.37983
