#      x          Cp  
     1.00000    0.47530
     0.99237    0.36239
     0.98308    0.34039
     0.97418    0.43287
     0.96593    0.45028
     0.95701    0.30455
     0.94599    0.21162
     0.93300    0.18422
     0.91896    0.14600
     0.90449    0.09543
     0.88997    0.02926
     0.87561   -0.01344
     0.86151   -0.01656
     0.84763   -0.02243
     0.83369   -0.07382
     0.81936   -0.15868
     0.80458   -0.24890
     0.78976   -0.32690
     0.77519   -0.39717
     0.76079   -0.45245
     0.74633   -0.49504
     0.73170   -0.53106
     0.71703   -0.56455
     0.70243   -0.59115
     0.68781   -0.60136
     0.67286   -0.58541
     0.65732   -0.56454
     0.64132   -0.56828
     0.62532   -0.59724
     0.60960   -0.62864
     0.59410   -0.64572
     0.57853   -0.64287
     0.56268   -0.63809
     0.54657   -0.64533
     0.53040   -0.67691
     0.51438   -0.71528
     0.49851   -0.75028
     0.48265   -0.77091
     0.46663   -0.78701
     0.45041   -0.80384
     0.43405   -0.82727
     0.41769   -0.85431
     0.40141   -0.88335
     0.38525   -0.91400
     0.36920   -0.94520
     0.35319   -0.97555
     0.33707   -1.00028
     0.32075   -1.02479
     0.30424   -1.05636
     0.28775   -1.10919
     0.27156   -1.17582
     0.25573   -1.24508
     0.24019   -1.30524
     0.22474   -1.35885
     0.20926   -1.41516
     0.19362   -1.47968
     0.17780   -1.55882
     0.16195   -1.65815
     0.14648   -1.80147
     0.13185   -2.00709
     0.11828   -2.22381
     0.10570   -2.43099
     0.09393   -2.60231
     0.08279   -2.73664
     0.07214   -2.84611
     0.06188   -2.93377
     0.05227   -3.02934
     0.04376   -3.20992
     0.03653   -3.40193
     0.03039   -3.53478
     0.02508   -3.56617
     0.02042   -3.42091
     0.01631   -3.30466
     0.01277   -3.37154
     0.00980   -3.89988
     0.00741   -4.33910
     0.00551   -4.27346
     0.00400   -4.08449
     0.00276   -3.86380
     0.00175   -3.73273
     0.00094   -3.76222
     0.00034   -3.77318
    -0.00003   -3.70176
    -0.00016   -3.49191
    -0.00005   -3.09989
     0.00033   -2.56081
     0.00104   -1.94510
     0.00214   -1.10139
     0.00370   -0.11145
     0.00563    0.45710
     0.00787    0.73988
     0.01044    0.88525
     0.01342    0.95894
     0.01690    0.99189
     0.02101    0.99990
     0.02593    0.98981
     0.03193    0.96602
     0.03941    0.93201
     0.04870    0.89150
     0.05983    0.84408
     0.07241    0.79262
     0.08609    0.74603
     0.10096    0.70474
     0.11673    0.66412
     0.13277    0.62668
     0.14872    0.59351
     0.16466    0.56515
     0.18081    0.53989
     0.19723    0.51618
     0.21373    0.49139
     0.23009    0.46696
     0.24624    0.44461
     0.26234    0.42684
     0.27859    0.41215
     0.29508    0.39838
     0.31170    0.38279
     0.32827    0.36613
     0.34471    0.35016
     0.36105    0.33648
     0.37744    0.32461
     0.39391    0.31327
     0.41044    0.30115
     0.42694    0.28854
     0.44335    0.27647
     0.45969    0.26590
     0.47603    0.25679
     0.49239    0.24856
     0.50881    0.24108
     0.52526    0.23423
     0.54173    0.22789
     0.55825    0.22202
     0.57481    0.21645
     0.59141    0.21096
     0.60805    0.20508
     0.62470    0.19870
     0.64134    0.19212
     0.65796    0.18526
     0.67458    0.17815
     0.69115    0.17083
     0.70765    0.16317
     0.72405    0.15634
     0.74041    0.15323
     0.75682    0.15219
     0.77325    0.14762
     0.78959    0.13599
     0.80579    0.12371
     0.82201    0.11705
     0.83840    0.11307
     0.85472    0.10220
     0.87060    0.08787
     0.88609    0.08662
     0.90160    0.09986
     0.91717    0.09701
     0.93239    0.07585
     0.94686    0.05930
     0.96036    0.05747
     0.97273    0.07276
     0.98368    0.08017
     0.99295    0.07653
     1.00000    0.47530
