#      x          Cp  
     1.00000    0.15488
     0.99235    0.18038
     0.98177    0.19974
     0.96926    0.22377
     0.95614    0.26940
     0.94417    0.32805
     0.93317    0.34231
     0.92181    0.28102
     0.90858    0.18401
     0.89346    0.10429
     0.87820    0.04124
     0.86297    0.00049
     0.84727   -0.03270
     0.83121   -0.07010
     0.81524   -0.10755
     0.79944   -0.13670
     0.78364   -0.16104
     0.76781   -0.19067
     0.75210   -0.23364
     0.73659   -0.27768
     0.72113   -0.30807
     0.70547   -0.32580
     0.68949   -0.34378
     0.67329   -0.37102
     0.65703   -0.40326
     0.64078   -0.43890
     0.62453   -0.47804
     0.60834   -0.52231
     0.59233   -0.57407
     0.57658   -0.62750
     0.56099   -0.67570
     0.54542   -0.71889
     0.52980   -0.76201
     0.51421   -0.80760
     0.49870   -0.85342
     0.48320   -0.89590
     0.46761   -0.93535
     0.45193   -0.97810
     0.43637   -1.03329
     0.42110   -1.09141
     0.40600   -1.13739
     0.39076   -1.16346
     0.37518   -1.18930
     0.35945   -1.23794
     0.34394   -1.30310
     0.32876   -1.36601
     0.31375   -1.41579
     0.29872   -1.46156
     0.28367   -1.50968
     0.26871   -1.56149
     0.25387   -1.61169
     0.23902   -1.65697
     0.22421   -1.70731
     0.20970   -1.77641
     0.19543   -1.80707
     0.18075   -1.79061
     0.16581   -1.85965
     0.15146   -1.97468
     0.13778   -2.06088
     0.12391   -2.05314
     0.11009   -2.19262
     0.09728   -2.32253
     0.08472   -2.34127
     0.07239   -2.44537
     0.06087   -2.55745
     0.05021   -2.64898
     0.04093   -2.97028
     0.03318   -3.11706
     0.02661   -3.25844
     0.02118   -3.43813
     0.01671   -3.59135
     0.01303   -3.75316
     0.01001   -3.97093
     0.00753   -4.31785
     0.00547   -4.52904
     0.00374   -4.61066
     0.00233   -4.68613
     0.00121   -4.76467
     0.00038   -4.82814
    -0.00020   -4.84285
    -0.00053   -4.75568
    -0.00061   -4.49083
    -0.00043   -3.96730
     0.00005   -3.09961
     0.00085   -1.98134
     0.00199   -1.03036
     0.00347   -0.31045
     0.00529    0.21478
     0.00745    0.58966
     0.01000    0.81103
     0.01300    0.92266
     0.01656    0.97867
     0.02084    0.99897
     0.02604    0.99521
     0.03244    0.97398
     0.04047    0.94114
     0.05027    0.89790
     0.06092    0.85054
     0.07193    0.82485
     0.08361    0.76785
     0.09654    0.72527
     0.11099    0.68733
     0.12591    0.64736
     0.14107    0.61542
     0.15668    0.58933
     0.17233    0.55586
     0.18766    0.53168
     0.20340    0.51788
     0.21952    0.49495
     0.23559    0.47258
     0.25160    0.45237
     0.26764    0.43590
     0.28385    0.42157
     0.30021    0.40601
     0.31658    0.38914
     0.33285    0.37194
     0.34894    0.35439
     0.36487    0.33800
     0.38072    0.32513
     0.39662    0.31512
     0.41261    0.30607
     0.42866    0.29706
     0.44471    0.28866
     0.46071    0.28062
     0.47661    0.27368
     0.49246    0.27006
     0.50838    0.27177
     0.52445    0.27420
     0.54065    0.27165
     0.55687    0.26548
     0.57306    0.26086
     0.58922    0.26041
     0.60537    0.25980
     0.62150    0.25403
     0.63758    0.24540
     0.65360    0.24033
     0.66954    0.24198
     0.68534    0.24165
     0.70084    0.22655
     0.71593    0.20499
     0.73064    0.19476
     0.74517    0.21281
     0.75974    0.23754
     0.77454    0.24952
     0.78969    0.23913
     0.80525    0.22364
     0.82117    0.21622
     0.83730    0.21615
     0.85351    0.21820
     0.86967    0.22099
     0.88562    0.21883
     0.90116    0.21295
     0.91588    0.23710
     0.92961    0.28523
     0.94295    0.29045
     0.95664    0.25688
     0.97018    0.23064
     0.98224    0.21163
     0.99244    0.19318
     1.00000    0.15488
