#      x          Cp  
     1.00000    0.20618
     0.99217    0.16753
     0.98016    0.11244
     0.96564    0.04146
     0.95090    0.00700
     0.93605   -0.01004
     0.92119   -0.03102
     0.90634   -0.05256
     0.89149   -0.07337
     0.87661   -0.09214
     0.86173   -0.10965
     0.84684   -0.12674
     0.83195   -0.14387
     0.81706   -0.16076
     0.80218   -0.17724
     0.78731   -0.19273
     0.77244   -0.20792
     0.75758   -0.22347
     0.74273   -0.24044
     0.72786   -0.25907
     0.71298   -0.27863
     0.69810   -0.29895
     0.68321   -0.31986
     0.66834   -0.34122
     0.65348   -0.36283
     0.63862   -0.38384
     0.62375   -0.40512
     0.60887   -0.42781
     0.59399   -0.45412
     0.57914   -0.48465
     0.56434   -0.51661
     0.54957   -0.54822
     0.53480   -0.57666
     0.52001   -0.60484
     0.50518   -0.63469
     0.49036   -0.67041
     0.47558   -0.71059
     0.46088   -0.75152
     0.44622   -0.78976
     0.43159   -0.82263
     0.41694   -0.85377
     0.40226   -0.88461
     0.38757   -0.91723
     0.37288   -0.95073
     0.35821   -0.98415
     0.34357   -1.01679
     0.32896   -1.04815
     0.31438   -1.07795
     0.29980   -1.10458
     0.28518   -1.12439
     0.27048   -1.14366
     0.25570   -1.16725
     0.24090   -1.20587
     0.22614   -1.25803
     0.21147   -1.31597
     0.19691   -1.37548
     0.18244   -1.43290
     0.16803   -1.49280
     0.15358   -1.55650
     0.13902   -1.62800
     0.12447   -1.72009
     0.11029   -1.85157
     0.09647   -1.99738
     0.08235   -2.12336
     0.06808   -2.33786
     0.05572   -2.75679
     0.04481   -2.66088
     0.03532   -2.79560
     0.02926   -5.11969
     0.02539   -5.85843
     0.02266   -2.60374
     0.02018   -1.05692
     0.01744   -1.57505
     0.01448   -3.24677
     0.01144   -6.53520
     0.00851   -9.27425
     0.00571   -8.38898
     0.00330   -8.84289
     0.00163  -10.49247
     0.00059  -12.54716
     0.00004  -14.51169
    -0.00005  -14.40112
     0.00037   -9.57445
     0.00132   -4.92779
     0.00289   -2.11559
     0.00525   -0.56469
     0.00835    0.24815
     0.01188    0.74338
     0.01568    0.92538
     0.01958    0.97352
     0.02353    0.98539
     0.02832    1.00000
     0.03541    0.98739
     0.04627    0.94952
     0.05857    0.89420
     0.07236    0.84485
     0.08716    0.79497
     0.10185    0.74971
     0.11636    0.70892
     0.13098    0.67239
     0.14571    0.64028
     0.16050    0.61116
     0.17529    0.58347
     0.19006    0.55761
     0.20483    0.53409
     0.21962    0.51303
     0.23446    0.49345
     0.24934    0.47455
     0.26422    0.45493
     0.27906    0.43555
     0.29384    0.41717
     0.30860    0.40100
     0.32335    0.38698
     0.33814    0.37416
     0.35295    0.36206
     0.36778    0.35019
     0.38261    0.33891
     0.39743    0.32829
     0.41223    0.31837
     0.42702    0.30929
     0.44180    0.30124
     0.45658    0.29485
     0.47139    0.29016
     0.48623    0.28623
     0.50110    0.28246
     0.51598    0.27800
     0.53085    0.27365
     0.54572    0.26984
     0.56057    0.26741
     0.57544    0.26590
     0.59033    0.26450
     0.60525    0.26234
     0.62017    0.25899
     0.63510    0.25529
     0.65004    0.25155
     0.66497    0.24810
     0.67990    0.24477
     0.69484    0.24150
     0.70978    0.23818
     0.72471    0.23484
     0.73965    0.23154
     0.75459    0.22832
     0.76952    0.22521
     0.78445    0.22217
     0.79938    0.21915
     0.81430    0.21608
     0.82919    0.21311
     0.84408    0.21036
     0.85899    0.20828
     0.87383    0.20653
     0.88869    0.20402
     0.90342    0.19865
     0.91792    0.19452
     0.93260    0.20608
     0.94694    0.17065
     0.95867    0.11348
     0.96992    0.33890
     0.98178    0.38642
     0.99235    0.38061
     1.00000    0.20618
