#      x          Cp  
     1.00000    0.33240
     0.99165    0.20845
     0.98000    0.13527
     0.96653    0.09310
     0.95201    0.05058
     0.93704    0.01990
     0.92184   -0.00211
     0.90649   -0.02087
     0.89104   -0.03738
     0.87555   -0.05453
     0.86003   -0.07159
     0.84451   -0.08811
     0.82899   -0.10449
     0.81347   -0.12062
     0.79795   -0.13674
     0.78244   -0.15315
     0.76692   -0.16947
     0.75141   -0.18564
     0.73590   -0.20236
     0.72040   -0.21933
     0.70490   -0.23794
     0.68939   -0.25664
     0.67389   -0.27647
     0.65839   -0.29737
     0.64290   -0.31892
     0.62742   -0.34074
     0.61196   -0.36310
     0.59651   -0.38567
     0.58107   -0.40887
     0.56564   -0.43206
     0.55023   -0.45643
     0.53482   -0.48131
     0.51943   -0.50672
     0.50406   -0.53299
     0.48869   -0.55968
     0.47333   -0.58739
     0.45799   -0.61642
     0.44266   -0.64620
     0.42735   -0.67715
     0.41205   -0.70940
     0.39677   -0.74290
     0.38151   -0.77804
     0.36627   -0.81441
     0.35105   -0.85274
     0.33585   -0.89295
     0.32068   -0.93542
     0.30555   -0.98030
     0.29044   -1.02746
     0.27538   -1.07810
     0.26036   -1.13199
     0.24540   -1.19017
     0.23049   -1.25147
     0.21566   -1.31914
     0.20091   -1.39100
     0.18625   -1.46942
     0.17171   -1.55600
     0.15730   -1.64933
     0.14305   -1.75352
     0.12900   -1.86916
     0.11520   -1.99803
     0.10172   -2.14506
     0.08865   -2.30806
     0.07613   -2.49807
     0.06435   -2.70776
     0.05354   -2.94838
     0.04392   -3.20754
     0.03564   -3.48187
     0.02869   -3.76488
     0.02294   -4.04178
     0.01823   -4.36043
     0.01437   -4.65650
     0.01119   -4.92906
     0.00856   -5.19660
     0.00638   -5.46462
     0.00457   -5.74869
     0.00308   -6.09354
     0.00188   -6.57667
     0.00096   -7.00172
     0.00034   -7.20469
     0.00004   -6.86140
     0.00004   -5.86764
     0.00034   -4.43098
     0.00096   -2.98989
     0.00188   -1.81498
     0.00308   -0.95400
     0.00457   -0.34209
     0.00638    0.10148
     0.00856    0.42930
     0.01119    0.66717
     0.01437    0.83087
     0.01823    0.93469
     0.02294    0.98772
     0.02868    0.99948
     0.03563    0.97890
     0.04392    0.93488
     0.05353    0.87662
     0.06434    0.81268
     0.07612    0.74869
     0.08864    0.68872
     0.10171    0.63389
     0.11519    0.58506
     0.12899    0.54150
     0.14304    0.50324
     0.15729    0.46942
     0.17170    0.43927
     0.18624    0.41302
     0.20090    0.38934
     0.21565    0.36846
     0.23048    0.34998
     0.24539    0.33317
     0.26035    0.31830
     0.27537    0.30494
     0.29043    0.29268
     0.30554    0.28194
     0.32068    0.27200
     0.33584    0.26289
     0.35104    0.25505
     0.36626    0.24751
     0.38150    0.24096
     0.39676    0.23515
     0.41204    0.22961
     0.42733    0.22486
     0.44265    0.22050
     0.45798    0.21664
     0.47332    0.21296
     0.48868    0.20977
     0.50404    0.20715
     0.51942    0.20439
     0.53481    0.20245
     0.55022    0.20049
     0.56563    0.19880
     0.58106    0.19764
     0.59650    0.19637
     0.61194    0.19536
     0.62741    0.19495
     0.64289    0.19448
     0.65839    0.19445
     0.67390    0.19403
     0.68941    0.19372
     0.70492    0.19282
     0.72042    0.19187
     0.73592    0.19059
     0.75143    0.18894
     0.76694    0.18722
     0.78246    0.18575
     0.79798    0.18420
     0.81350    0.18272
     0.82902    0.18125
     0.84454    0.17966
     0.86006    0.17814
     0.87558    0.17701
     0.89108    0.17535
     0.90653    0.17307
     0.92188    0.17156
     0.93708    0.17262
     0.95205    0.17953
     0.96656    0.19645
     0.98001    0.21105
     0.99165    0.25691
     1.00000    0.33240
