#      x          Cp  
     1.00000    0.71412
     0.99365   -0.03005
     0.98547   -0.11679
     0.97563   -0.08563
     0.96350   -0.01655
     0.95007    0.00002
     0.93623   -0.03007
     0.92172   -0.07258
     0.90698   -0.11245
     0.89222   -0.14520
     0.87742   -0.17493
     0.86261   -0.20329
     0.84781   -0.22892
     0.83299   -0.25174
     0.81813   -0.27380
     0.80323   -0.29587
     0.78832   -0.31770
     0.77339   -0.33943
     0.75845   -0.36141
     0.74350   -0.38430
     0.72857   -0.40773
     0.71364   -0.43104
     0.69871   -0.45420
     0.68377   -0.47768
     0.66883   -0.50193
     0.65390   -0.52665
     0.63898   -0.55172
     0.62407   -0.57704
     0.60917   -0.60245
     0.59427   -0.62759
     0.57936   -0.65285
     0.56445   -0.67865
     0.54954   -0.70522
     0.53463   -0.73239
     0.51972   -0.76005
     0.50481   -0.78843
     0.48989   -0.81805
     0.47499   -0.84932
     0.46010   -0.88180
     0.44523   -0.91518
     0.43036   -0.94965
     0.41550   -0.98588
     0.40066   -1.02464
     0.38585   -1.06522
     0.37108   -1.10708
     0.35632   -1.15029
     0.34160   -1.19549
     0.32691   -1.24348
     0.31226   -1.29345
     0.29767   -1.34473
     0.28311   -1.39752
     0.26859   -1.45293
     0.25413   -1.51192
     0.23974   -1.57335
     0.22542   -1.63677
     0.21116   -1.70289
     0.19698   -1.77392
     0.18291   -1.84992
     0.16895   -1.93001
     0.15512   -2.01505
     0.14143   -2.10920
     0.12794   -2.21473
     0.11471   -2.33143
     0.10180   -2.45895
     0.08926   -2.59107
     0.07715   -2.72438
     0.06550   -2.85265
     0.05440   -2.98051
     0.04400   -3.11901
     0.03464   -3.29399
     0.02668   -3.51439
     0.02017   -3.79466
     0.01504   -4.10580
     0.01111   -4.47816
     0.00807   -4.87392
     0.00568   -5.27294
     0.00376   -5.86530
     0.00228   -6.42190
     0.00121   -6.78467
     0.00049   -7.10323
     0.00010   -7.24718
     0.00001   -6.78942
     0.00023   -5.58942
     0.00080   -4.22824
     0.00178   -2.63921
     0.00322   -1.23202
     0.00510   -0.27438
     0.00741    0.29355
     0.01021    0.64713
     0.01369    0.85465
     0.01804    0.95904
     0.02356    0.99791
     0.03054    0.99193
     0.03936    0.95760
     0.05008    0.90797
     0.06225    0.85476
     0.07546    0.80472
     0.08932    0.75974
     0.10356    0.72050
     0.11803    0.68640
     0.13268    0.65644
     0.14743    0.63015
     0.16227    0.60706
     0.17719    0.58655
     0.19217    0.56798
     0.20719    0.55117
     0.22224    0.53581
     0.23731    0.52180
     0.25242    0.50903
     0.26755    0.49724
     0.28271    0.48604
     0.29786    0.47548
     0.31302    0.46578
     0.32819    0.45689
     0.34338    0.44848
     0.35858    0.44030
     0.37377    0.43256
     0.38896    0.42553
     0.40417    0.41911
     0.41939    0.41312
     0.43460    0.40747
     0.44980    0.40208
     0.46499    0.39673
     0.48018    0.39151
     0.49538    0.38670
     0.51056    0.38251
     0.52570    0.37848
     0.54083    0.37411
     0.55596    0.36946
     0.57109    0.36490
     0.58622    0.36063
     0.60134    0.35640
     0.61645    0.35191
     0.63155    0.34715
     0.64666    0.34225
     0.66178    0.33724
     0.67690    0.33213
     0.69203    0.32689
     0.70716    0.32155
     0.72231    0.31632
     0.73747    0.31137
     0.75261    0.30652
     0.76775    0.30171
     0.78289    0.29690
     0.79802    0.29225
     0.81312    0.28762
     0.82820    0.28248
     0.84328    0.27660
     0.85836    0.27031
     0.87342    0.26363
     0.88847    0.25569
     0.90355    0.24647
     0.91857    0.23899
     0.93336    0.22920
     0.94784    0.20934
     0.96165    0.16576
     0.97395    0.09975
     0.98429    0.06338
     0.99310    0.09559
     1.00000    0.71412
