#      x          Cp  
     1.00000    0.47955
     0.99275    0.27828
     0.98338    0.19819
     0.97268    0.13506
     0.96042    0.08156
     0.94658    0.03549
     0.93165   -0.00143
     0.91663   -0.03237
     0.90156   -0.06225
     0.88668   -0.09780
     0.87185   -0.13649
     0.85697   -0.17608
     0.84202   -0.21416
     0.82703   -0.24997
     0.81206   -0.28459
     0.79711   -0.31770
     0.78215   -0.34901
     0.76717   -0.37976
     0.75214   -0.41071
     0.73709   -0.44302
     0.72203   -0.47645
     0.70697   -0.51083
     0.69192   -0.54644
     0.67688   -0.58340
     0.66185   -0.62160
     0.64683   -0.66144
     0.63183   -0.70328
     0.61687   -0.74627
     0.60193   -0.79001
     0.58702   -0.83391
     0.57213   -0.87806
     0.55725   -0.92249
     0.54240   -0.96750
     0.52758   -1.01266
     0.51281   -1.05668
     0.49807   -1.09779
     0.48332   -1.13381
     0.46856   -1.16709
     0.45375   -1.19850
     0.43893   -1.22860
     0.42408   -1.25757
     0.40922   -1.28544
     0.39434   -1.31131
     0.37940   -1.33550
     0.36439   -1.36090
     0.34933   -1.39046
     0.33425   -1.42837
     0.31917   -1.47224
     0.30413   -1.52156
     0.28916   -1.57784
     0.27425   -1.64100
     0.25938   -1.71091
     0.24461   -1.79775
     0.23008   -1.90346
     0.21582   -2.00541
     0.20175   -2.10130
     0.18788   -2.19424
     0.17421   -2.27539
     0.16064   -2.33111
     0.14707   -2.38886
     0.13361   -2.46684
     0.12046   -2.56289
     0.10779   -2.67250
     0.09560   -2.72916
     0.08367   -2.71951
     0.07172   -2.73369
     0.05958   -2.80760
     0.04827   -2.90474
     0.03912   -3.04079
     0.03168   -3.16200
     0.02508   -3.21510
     0.01846   -2.97664
     0.01275   -2.96846
     0.00894   -3.46818
     0.00631   -4.02576
     0.00436   -4.61315
     0.00287   -5.24166
     0.00174   -5.90325
     0.00090   -6.56139
     0.00031   -7.12864
    -0.00003   -7.44032
    -0.00012   -7.26822
     0.00004   -6.34314
     0.00047   -4.74254
     0.00118   -3.19206
     0.00219   -1.92619
     0.00354   -0.96749
     0.00529   -0.26697
     0.00759    0.23532
     0.01070    0.58911
     0.01510    0.82094
     0.02128    0.95364
     0.02885    0.99806
     0.03764    0.99077
     0.04800    0.95163
     0.05983    0.89328
     0.07238    0.82980
     0.08519    0.76763
     0.09822    0.70935
     0.11151    0.65891
     0.12509    0.61666
     0.13900    0.58168
     0.15321    0.55247
     0.16764    0.52715
     0.18225    0.50626
     0.19707    0.48864
     0.21201    0.47049
     0.22690    0.45381
     0.24182    0.44119
     0.25681    0.42969
     0.27175    0.41930
     0.28673    0.41473
     0.30190    0.41276
     0.31726    0.40923
     0.33269    0.40562
     0.34812    0.40208
     0.36353    0.39821
     0.37892    0.39439
     0.39431    0.39094
     0.40971    0.38817
     0.42514    0.38610
     0.44058    0.38457
     0.45602    0.38374
     0.47145    0.38358
     0.48685    0.38373
     0.50221    0.38401
     0.51752    0.38424
     0.53280    0.38429
     0.54805    0.38398
     0.56328    0.38291
     0.57850    0.38126
     0.59373    0.37918
     0.60895    0.37671
     0.62415    0.37378
     0.63933    0.37021
     0.65452    0.36541
     0.66978    0.35908
     0.68512    0.35234
     0.70052    0.34615
     0.71592    0.34197
     0.73126    0.33817
     0.74653    0.33361
     0.76177    0.32601
     0.77703    0.31671
     0.79237    0.30748
     0.80777    0.30079
     0.82322    0.29692
     0.83866    0.29375
     0.85407    0.29029
     0.86938    0.28567
     0.88463    0.28002
     0.89988    0.27216
     0.91526    0.25906
     0.93071    0.24599
     0.94574    0.23810
     0.95967    0.24175
     0.97207    0.25663
     0.98296    0.28293
     0.99255    0.32873
     1.00000    0.47955
