#      x          Cp  
     1.00000    0.43749
     0.99111    0.27170
     0.97944    0.21207
     0.96591    0.15381
     0.95034    0.09680
     0.93321    0.03201
     0.91558   -0.03519
     0.89819   -0.09791
     0.88104   -0.15040
     0.86392   -0.19658
     0.84669   -0.23358
     0.82935   -0.25795
     0.81203   -0.28464
     0.79501   -0.34053
     0.77860   -0.43876
     0.76284   -0.53073
     0.74761   -0.56480
     0.73269   -0.49459
     0.71800   -0.41392
     0.70352   -0.36631
     0.68927   -0.43749
     0.67518   -0.59224
     0.66102   -0.77772
     0.64649   -0.92461
     0.63113   -0.94986
     0.61462   -0.92982
     0.59706   -0.92015
     0.57925   -0.97841
     0.56189   -1.05084
     0.54496   -1.10467
     0.52801   -1.12371
     0.51070   -1.13429
     0.49303   -1.15503
     0.47538   -1.19236
     0.45794   -1.22948
     0.44052   -1.24930
     0.42277   -1.25593
     0.40462   -1.27254
     0.38657   -1.33614
     0.36914   -1.42422
     0.35222   -1.50239
     0.33518   -1.52925
     0.31742   -1.53668
     0.29937   -1.57941
     0.28253   -1.73041
     0.26703   -1.69301
     0.25177   -1.54195
     0.23644   -1.72909
     0.22108   -1.95311
     0.20494   -1.95187
     0.18806   -2.04574
     0.17176   -2.19108
     0.15603   -2.27962
     0.14020   -2.32706
     0.12409   -2.41593
     0.10914   -2.70677
     0.09573   -2.84817
     0.08256   -2.71960
     0.06869   -2.65864
     0.05468   -2.74062
     0.04286   -2.91891
     0.03379   -3.12059
     0.02634   -3.25004
     0.01963   -3.04732
     0.01375   -2.92695
     0.00948   -3.38870
     0.00647   -4.01890
     0.00428   -4.67226
     0.00265   -5.35480
     0.00145   -6.02554
     0.00061   -6.58832
     0.00012   -6.85949
    -0.00006   -6.59834
     0.00011   -5.51404
     0.00062   -3.95775
     0.00147   -2.56367
     0.00268   -1.45581
     0.00430   -0.62576
     0.00639   -0.02148
     0.00910    0.40884
     0.01261    0.70605
     0.01717    0.89636
     0.02305    0.98097
     0.03044    0.99992
     0.03956    0.98783
     0.05029    0.94533
     0.06217    0.88406
     0.07498    0.82025
     0.08936    0.76638
     0.10397    0.70529
     0.11504    0.62935
     0.12369    0.58358
     0.13163    0.65185
     0.14034    0.71458
     0.14896    0.67829
     0.15605    0.54428
     0.16150    0.37046
     0.16574    0.14577
     0.16905   -0.16489
     0.17160   -0.59406
     0.17346   -0.89895
     0.17462   -0.12005
     0.17500    0.79421
     0.17528    0.93735
     0.17615    0.96220
     0.17771    0.96663
     0.18004    0.95696
     0.18327    0.93344
     0.18749    0.89336
     0.19282    0.83495
     0.19931    0.75740
     0.20693    0.65782
     0.21551    0.52831
     0.22462    0.35802
     0.23366    0.28527
     0.24297    0.38622
     0.25392    0.48894
     0.26812    0.47330
     0.28509    0.44991
     0.30289    0.43696
     0.32084    0.42637
     0.33894    0.41730
     0.35717    0.40917
     0.37545    0.40187
     0.39373    0.39549
     0.41198    0.39088
     0.43013    0.38692
     0.44818    0.38108
     0.46610    0.36881
     0.48392    0.35497
     0.50164    0.34629
     0.51925    0.34980
     0.53680    0.35575
     0.55434    0.35541
     0.57199    0.34297
     0.58979    0.32738
     0.60777    0.31518
     0.62585    0.30905
     0.64398    0.30544
     0.66211    0.30473
     0.68021    0.30514
     0.69825    0.30357
     0.71621    0.29501
     0.73411    0.28401
     0.75201    0.27581
     0.76999    0.27515
     0.78813    0.27776
     0.80637    0.28220
     0.82456    0.28700
     0.84256    0.28949
     0.86030    0.28284
     0.87779    0.27002
     0.89517    0.26014
     0.91276    0.26520
     0.93072    0.28103
     0.94843    0.29870
     0.96467    0.31238
     0.97877    0.32760
     0.99085    0.34933
     1.00000    0.43749
