#      x          Cp  
     1.00000    0.22246
     0.99195    0.03373
     0.98161   -0.08206
     0.97007   -0.17686
     0.95740   -0.25521
     0.94386   -0.32361
     0.92970   -0.38499
     0.91490   -0.42424
     0.89937   -0.45563
     0.88362   -0.51359
     0.86787   -0.54414
     0.85149   -0.54116
     0.83463   -0.57226
     0.81784   -0.59889
     0.80082   -0.60668
     0.78355   -0.62501
     0.76618   -0.63143
     0.74841   -0.62769
     0.73032   -0.63881
     0.71229   -0.66098
     0.69438   -0.67302
     0.67617   -0.66588
     0.65778   -0.68433
     0.63959   -0.70441
     0.62150   -0.71052
     0.60332   -0.70243
     0.58511   -0.73070
     0.56693   -0.75224
     0.54839   -0.75221
     0.52960   -0.77289
     0.51093   -0.79904
     0.49241   -0.82063
     0.47380   -0.83550
     0.45497   -0.85193
     0.43602   -0.87782
     0.41718   -0.91011
     0.39852   -0.94254
     0.37993   -0.97077
     0.36127   -0.99964
     0.34251   -1.03307
     0.32370   -1.07307
     0.30495   -1.11894
     0.28636   -1.17379
     0.26802   -1.23533
     0.24990   -1.29961
     0.23188   -1.36262
     0.21388   -1.43069
     0.19597   -1.51104
     0.17834   -1.60953
     0.16110   -1.72025
     0.14439   -1.85301
     0.12848   -2.01050
     0.11343   -2.16438
     0.09935   -2.33954
     0.08659   -2.57136
     0.07530   -2.82360
     0.06536   -3.08527
     0.05663   -3.35903
     0.04903   -3.65551
     0.04243   -3.99090
     0.03668   -4.37150
     0.03164   -4.82568
     0.02718   -5.30259
     0.02321   -5.82343
     0.01966   -6.38914
     0.01649   -6.95858
     0.01365   -7.52800
     0.01110   -8.24569
     0.00884   -9.00360
     0.00687   -9.33451
     0.00520   -9.14946
     0.00380   -8.79920
     0.00265   -8.36069
     0.00171   -7.87263
     0.00099   -7.34937
     0.00047   -6.79373
     0.00014   -6.20144
     0.00000   -5.56120
     0.00006   -4.83242
     0.00032   -4.08330
     0.00077   -3.36346
     0.00142   -2.68827
     0.00227   -2.06553
     0.00335   -1.49770
     0.00466   -0.98413
     0.00623   -0.52419
     0.00809   -0.10304
     0.01025    0.26400
     0.01270    0.53012
     0.01544    0.70686
     0.01849    0.82982
     0.02188    0.91268
     0.02568    0.96421
     0.02994    0.99139
     0.03475    0.99997
     0.04022    0.99461
     0.04645    0.97820
     0.05355    0.95279
     0.06167    0.92077
     0.07098    0.88436
     0.08160    0.84494
     0.09361    0.80368
     0.10692    0.76114
     0.12123    0.71833
     0.13646    0.68094
     0.15267    0.64629
     0.16935    0.60814
     0.18629    0.57928
     0.20399    0.55555
     0.22215    0.52689
     0.24019    0.49898
     0.25803    0.47484
     0.27595    0.45483
     0.29417    0.43617
     0.31259    0.41609
     0.33094    0.39524
     0.34911    0.37553
     0.36716    0.35833
     0.38520    0.34264
     0.40330    0.32766
     0.42142    0.31287
     0.43950    0.29834
     0.45746    0.28336
     0.47523    0.26782
     0.49276    0.25282
     0.51004    0.23863
     0.52708    0.22551
     0.54382    0.21373
     0.56014    0.20156
     0.57598    0.19196
     0.59145    0.19039
     0.60659    0.19135
     0.62132    0.19765
     0.63596    0.23075
     0.65113    0.28057
     0.66710    0.33326
     0.68346    0.38382
     0.69950    0.42340
     0.71548    0.44186
     0.73180    0.45828
     0.74811    0.47845
     0.76415    0.49583
     0.78006    0.50830
     0.79608    0.51634
     0.81196    0.53152
     0.82733    0.54527
     0.84258    0.54913
     0.85774    0.55798
     0.87233    0.57063
     0.88641    0.57521
     0.90022    0.57700
     0.91357    0.58184
     0.92629    0.58314
     0.93851    0.57656
     0.95033    0.56515
     0.96166    0.55051
     0.97242    0.52954
     0.98256    0.49047
     0.99213    0.44694
     1.00000    0.22246
