#      x          Cp  
     1.00000    0.38838
     0.99133    0.34385
     0.97895    0.18869
     0.96618    0.08348
     0.95341    0.01876
     0.94054   -0.01342
     0.92754   -0.04429
     0.91454   -0.08027
     0.90154   -0.11473
     0.88855   -0.15228
     0.87557   -0.19452
     0.86257   -0.23564
     0.84958   -0.28086
     0.83660   -0.32926
     0.82363   -0.38165
     0.81067   -0.44123
     0.79777   -0.50764
     0.78495   -0.56244
     0.77209   -0.57547
     0.75908   -0.58117
     0.74601   -0.58914
     0.73292   -0.59925
     0.71981   -0.60921
     0.70668   -0.61809
     0.69353   -0.62816
     0.68037   -0.63872
     0.66721   -0.64764
     0.65402   -0.65683
     0.64084   -0.66800
     0.62765   -0.67878
     0.61445   -0.68861
     0.60125   -0.69893
     0.58804   -0.70989
     0.57483   -0.72112
     0.56162   -0.73242
     0.54841   -0.74326
     0.53519   -0.75444
     0.52197   -0.76728
     0.50875   -0.78018
     0.49554   -0.79156
     0.48231   -0.80364
     0.46909   -0.81789
     0.45587   -0.83267
     0.44265   -0.84733
     0.42944   -0.86154
     0.41622   -0.87537
     0.40300   -0.89139
     0.38979   -0.90946
     0.37658   -0.92630
     0.36337   -0.94289
     0.35016   -0.96266
     0.33696   -0.98410
     0.32376   -1.00508
     0.31057   -1.02675
     0.29738   -1.04982
     0.28419   -1.07504
     0.27102   -1.10248
     0.25785   -1.12992
     0.24469   -1.15910
     0.23153   -1.19311
     0.21838   -1.22951
     0.20525   -1.26793
     0.19213   -1.31082
     0.17902   -1.35823
     0.16593   -1.41060
     0.15286   -1.46969
     0.13981   -1.53707
     0.12679   -1.61416
     0.11379   -1.70257
     0.10083   -1.81215
     0.08794   -1.94269
     0.07510   -2.10131
     0.06233   -2.31518
     0.04971   -2.60244
     0.03725   -3.01375
     0.02516   -3.71339
     0.01391   -5.00507
     0.00561   -8.29493
     0.00196  -13.05401
     0.00035  -24.02740
     0.00002  -32.36830
     0.00080  -10.09139
     0.00325   -2.34375
     0.00867    0.11953
     0.01873    0.87235
     0.03055    0.99557
     0.04292    0.98718
     0.05551    0.94445
     0.06825    0.89361
     0.08110    0.84294
     0.09403    0.79468
     0.10700    0.74948
     0.12000    0.70792
     0.13305    0.66965
     0.14612    0.63395
     0.15920    0.60046
     0.17231    0.56966
     0.18543    0.54075
     0.19855    0.51299
     0.21167    0.48775
     0.22481    0.46364
     0.23792    0.43984
     0.25100    0.42173
     0.26410    0.40905
     0.27724    0.39999
     0.29041    0.39279
     0.30361    0.38616
     0.31682    0.37949
     0.33004    0.37277
     0.34325    0.36689
     0.35648    0.36153
     0.36971    0.35606
     0.38294    0.35085
     0.39617    0.34620
     0.40941    0.34173
     0.42265    0.33708
     0.43588    0.33272
     0.44912    0.32896
     0.46236    0.32539
     0.47561    0.32176
     0.48886    0.31805
     0.50211    0.31414
     0.51535    0.31047
     0.52859    0.30731
     0.54184    0.30424
     0.55509    0.30101
     0.56834    0.29794
     0.58159    0.29520
     0.59483    0.29242
     0.60808    0.28933
     0.62133    0.28629
     0.63458    0.28351
     0.64783    0.28094
     0.66108    0.27864
     0.67432    0.27604
     0.68756    0.27294
     0.70081    0.27005
     0.71407    0.26758
     0.72731    0.26547
     0.74055    0.26347
     0.75380    0.26039
     0.76704    0.25704
     0.78029    0.25512
     0.79353    0.25304
     0.80678    0.24990
     0.82003    0.24793
     0.83327    0.24619
     0.84651    0.24203
     0.85975    0.23950
     0.87299    0.23804
     0.88623    0.23410
     0.89947    0.23232
     0.91272    0.22896
     0.92594    0.22506
     0.93915    0.22244
     0.95229    0.21790
     0.96530    0.23693
     0.97844    0.28861
     0.99115    0.38894
     1.00000    0.38838
