#      x          Cp  
     1.00000    0.34576
     0.98948    0.21873
     0.97603    0.17188
     0.96113    0.13690
     0.94485    0.10765
     0.92736    0.08124
     0.90886    0.05591
     0.88959    0.03194
     0.86975    0.00797
     0.84951   -0.01543
     0.82897   -0.03900
     0.80824   -0.06254
     0.78736   -0.08650
     0.76636   -0.11045
     0.74528   -0.13517
     0.72412   -0.16027
     0.70290   -0.18599
     0.68163   -0.21247
     0.66032   -0.23963
     0.63900   -0.26744
     0.61767   -0.29626
     0.59635   -0.32540
     0.57504   -0.35531
     0.55374   -0.38596
     0.53246   -0.41803
     0.51120   -0.45124
     0.48996   -0.48555
     0.46873   -0.52196
     0.44752   -0.56061
     0.42635   -0.60236
     0.40524   -0.64853
     0.38424   -0.70124
     0.36339   -0.75971
     0.34274   -0.82455
     0.32234   -0.89441
     0.30223   -0.97064
     0.28248   -1.05400
     0.26316   -1.14534
     0.24440   -1.24483
     0.22635   -1.35624
     0.20921   -1.48868
     0.19321   -1.67468
     0.17849   -1.91460
     0.16498   -2.16048
     0.15249   -2.39102
     0.14087   -2.57704
     0.12998   -2.72749
     0.11975   -2.85733
     0.11014   -2.97293
     0.10113   -3.07397
     0.09269   -3.16753
     0.08480   -3.25424
     0.07744   -3.32960
     0.07058   -3.39544
     0.06420   -3.45236
     0.05827   -3.50159
     0.05276   -3.55055
     0.04764   -3.60108
     0.04288   -3.65791
     0.03847   -3.71471
     0.03438   -3.77000
     0.03059   -3.82571
     0.02708   -3.90023
     0.02383   -3.97205
     0.02084   -4.01629
     0.01809   -4.02546
     0.01557   -4.00428
     0.01328   -3.94442
     0.01119   -3.85302
     0.00930   -3.74483
     0.00760   -3.63018
     0.00606   -3.51552
     0.00468   -3.39178
     0.00348   -3.25858
     0.00243   -3.12865
     0.00154   -2.99936
     0.00082   -2.84853
     0.00026   -2.66897
    -0.00014   -2.45473
    -0.00037   -2.20786
    -0.00042   -1.93635
    -0.00029   -1.63798
     0.00004   -1.30516
     0.00059   -0.91475
     0.00137   -0.53181
     0.00237   -0.19329
     0.00357    0.09145
     0.00496    0.32061
     0.00652    0.50418
     0.00827    0.64909
     0.01019    0.75997
     0.01227    0.84253
     0.01453    0.90443
     0.01699    0.94914
     0.01966    0.97883
     0.02255    0.99521
     0.02568    0.99999
     0.02907    0.99481
     0.03274    0.98122
     0.03671    0.96063
     0.04101    0.93427
     0.04567    0.90325
     0.05071    0.86839
     0.05618    0.82991
     0.06211    0.78864
     0.06855    0.74556
     0.07556    0.70120
     0.08318    0.65649
     0.09148    0.61222
     0.10051    0.56795
     0.11030    0.52318
     0.12089    0.47946
     0.13229    0.43680
     0.14451    0.39751
     0.15756    0.36110
     0.17141    0.32817
     0.18603    0.29903
     0.20137    0.27253
     0.21735    0.24709
     0.23388    0.22392
     0.25088    0.20356
     0.26829    0.18606
     0.28606    0.17126
     0.30416    0.15911
     0.32255    0.14940
     0.34120    0.14113
     0.36008    0.13479
     0.37919    0.12985
     0.39849    0.12661
     0.41798    0.12415
     0.43763    0.12260
     0.45741    0.12105
     0.47731    0.12065
     0.49732    0.12120
     0.51744    0.12248
     0.53768    0.12545
     0.55806    0.12942
     0.57857    0.13370
     0.59924    0.13882
     0.62004    0.14381
     0.64097    0.14839
     0.66199    0.15277
     0.68307    0.15728
     0.70421    0.16180
     0.72536    0.16648
     0.74649    0.17138
     0.76757    0.17648
     0.78855    0.18147
     0.80941    0.18643
     0.83008    0.19149
     0.85052    0.19626
     0.87065    0.20125
     0.89035    0.20595
     0.90947    0.21119
     0.92781    0.21653
     0.94515    0.22297
     0.96131    0.23088
     0.97611    0.24262
     0.98951    0.26494
     1.00000    0.34576
